R,Name,P,Tackle,Intc,C,EC,SB,OW,F,Rt,Key Events
1,Jason Steele,GK,0,0,3,3,0,0,0,8.09,
2,József Varga,DR,2,2,0,0,0,0,1,6.61,
3,Daniel Ayala,DC,3,7,4,4,2,0,1,8.4,
4,Sebastian Hines,DC,1,3,4,4,1,3,1,7.31,
5,Ben Gibson,DL,0,0,3,3,1,0,0,6.41,
6,Albert Adomah45',MR,1,0,0,0,0,0,0,7.06,
7,Nathaniel Chalobah25',MC,0,0,0,0,0,0,0,6.2,
8,Dean Whitehead66',MC,4,0,1,1,0,0,0,7.11,
9,Emmanuel Jorge Ledesma,ML,3,0,1,1,0,0,2,9.22,
10,Danny Graham,FW,0,0,0,0,0,0,1,8.75,
11,Lee Tomlin,FW,0,1,0,0,0,0,1,8.16,
12,Luke Williams,Sub,0,0,0,0,0,0,0,0,
13,Adam Reach45',Sub,1,1,1,1,0,0,0,7,
14,Kenneth Omeruo,Sub,0,0,0,0,0,0,0,0,
15,Bryn Morris66',Sub,0,0,1,1,0,0,0,6.04,
16,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,
17,Jacob Butterfield25',Sub,0,2,1,1,0,0,0,6.74,
18,Curtis Main,Sub,0,0,0,0,0,0,0,0,
