Club,ON,OFF,HW
Leicester City,325,242,20
Bolton,316,249,10
Hull City,283,269,15
Cardiff City,301,245,25
Burnley,272,268,19
Blackpool,275,262,23
Watford,279,255,21
Nottm Forest,262,253,22
Middlesbrough,252,263,10
Derby County,296,213,14
Crystal Palace,252,253,20
Blackburn,256,241,15
Brighton,253,242,16
Barnsley,254,228,8
Peterborough,265,216,17
Ipswich Town,244,233,7
Charlton,251,216,17
Sheffield Wed,249,211,10
Birmingham,223,229,13
Bristol City,217,223,18
Millwall,219,213,13
Leeds United,227,203,15
Wolves,208,217,15
Huddersfield,195,202,9
