Club,ON,OFF,HW
Leeds United,334,274,27
Norwich City,331,295,22
Coventry City,322,292,32
Cardiff City,318,238,19
Swansea City,313,264,20
Ipswich Town,302,261,17
Leicester City,294,294,18
Reading,289,236,18
Middlesbrough,285,238,13
Burnley,281,301,18
QPR,275,289,16
Preston,271,278,30
Millwall,268,296,11
Watford,264,215,12
Sheffield Utd,260,220,13
Bristol City,260,218,17
Scunthorpe,259,230,14
Nottm Forest,256,208,19
Barnsley,255,226,9
Derby County,249,235,11
Doncaster,249,229,10
Hull City,249,219,14
Crystal Palace,214,205,15
Portsmouth,203,242,15
