Club,ON,OFF,HW
Blackpool,332,318,22
WBA,354,291,12
Ipswich Town,371,269,11
QPR,278,296,19
Bristol City,315,240,15
Newcastle,313,238,19
Middlesbrough,280,254,10
Leicester City,276,257,11
Preston,275,252,19
Reading,266,261,19
Doncaster,289,236,9
Scunthorpe,274,248,17
Peterborough,271,249,11
Swansea City,271,240,12
Cardiff City,276,234,27
Sheffield Utd,260,240,11
Watford,253,239,22
Sheffield Wed,266,221,20
Nottm Forest,263,222,12
Barnsley,239,228,13
Crystal Palace,237,229,19
Derby County,236,217,11
Plymouth,214,236,23
Coventry City,253,196,11
