R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,1,0,0,7.19,
2,,"Ryan Fredericks (47?)22, DR",1,0,2,0,1,6.58,
3,,"Kenneth Omeruo 21, DC",1,1,10,0,2,7.04,
4,,"Daniel Ayala (83?)24, DC",0,2,10,0,0,7.75,
5,,"George Friend 27, DL",1,1,6,0,0,7.91,
6,,"Grant Leadbitter 28, DMC",1,0,1,0,2,7.76,
7,,"Dean Whitehead 32, DMC",1,2,5,1,0,7.08,
8,,"Patrick Bamford 21, AMR",0,2,4,0,2,8.14,
9,,"Lee Tomlin 25, AMC",0,0,1,0,1,7.45,
10,,"Albert Adomah 26, AML",1,0,0,0,0,6.52,
11,,"Jelle Vossen (73?)25, FW",2,0,0,0,0,6.86,
12,,"Yanic Wildschut 23, Sub",0,0,0,0,0,-,
13,,"Milos Veljkovic 19, Sub",0,0,0,0,0,-,
14,,"Tomás Mejías 25, Sub",0,0,0,0,0,-,
15,,"Emilio Nsue Lopez (47?)25, Sub",0,0,1,0,0,6.25,
16,,"Kike (73?)25, Sub",0,0,0,0,0,6.06,
17,,"Ben Gibson (83?)21, Sub",0,0,1,0,1,6.22,
18,,"Adam Reach 21, Sub",0,0,0,0,0,-,
