R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,2,0,0,5.9,
2,,"Ryan Fredericks 22, DR",10,1,4,0,0,7.41,
3,,"Daniel Ayala 23, DC",0,3,4,0,1,6.3,
4,,"Kenneth Omeruo 21, DC",2,1,3,0,1,6.2,
5,,"George Friend 27, DL",3,1,1,0,2,6.69,
6,,"Albert Adomah 26, MR",6,1,1,0,0,7.33,
7,,"Dean Whitehead 32, MC",3,1,1,0,1,6.49,
8,,"Grant Leadbitter 28, MC",3,0,0,1,1,6.41,
9,,"Adam Reach (64?)21, ML",2,2,0,0,1,6.49,
10,,"Jelle Vossen (75?)25, FW",1,1,0,1,1,6.33,
11,,"Patrick Bamford (63?)21, FW",0,0,0,0,3,6.24,
12,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,-,
13,,"Kike (63?)24, Sub",0,0,2,0,1,5.95,
14,,"Ben Gibson 21, Sub",0,0,0,0,0,-,
15,,"Yanic Wildschut (75?)23, Sub",1,0,0,0,2,5.96,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,-,
17,,"Lee Tomlin (64?)25, Sub",0,0,0,0,1,5.86,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,-,
