R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,1,0,0,6.98,
2,,"Emilio Nsue Lopez 25, DR",1,1,2,0,0,6.75,
3,,"Ben Gibson 21, DC",0,1,8,1,0,6.89,
4,,"Daniel Ayala 24, DC",1,4,9,0,2,7.62,
5,,"George Friend 27, DL",1,3,4,0,1,7.07,
6,,"Albert Adomah 27, MR",4,1,0,0,1,7.04,
7,,"Grant Leadbitter 28, MC",3,8,1,0,0,8.28,
8,,"Adam Clayton 25, MC",5,8,1,0,2,7.73,
9,,"Adam Reach 21, ML",1,0,0,0,1,6.96,
10,,"Jelle Vossen (77?)25, FW",4,0,0,0,1,7,
11,,"Patrick Bamford (73?)21, FW",1,2,0,0,4,8.23,
12,,"Yanic Wildschut (77?)23, Sub",0,0,0,0,1,6.3,
13,,"Kike (73?)25, Sub",0,0,0,0,2,5.83,
14,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,-,
15,,"Milos Veljkovic 19, Sub",0,0,0,0,0,-,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,-,
17,,"Dean Whitehead 32, Sub",0,0,0,0,0,-,
18,,"James Husband 20, Sub",0,0,0,0,0,-,
