R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,6.25,
2,,"Emilio Nsue Lopez (54?)25, DR",0,0,1,0,2,5.63,
3,,"Tomas Kalas 21, DC",0,7,10,0,4,6.34,
4,,"Ben Gibson 22, DC",1,2,5,0,0,6.07,
5,,"George Friend 27, DL",1,3,0,1,2,6.35,
6,,"Adam Clayton (54?)26, DMC",2,2,2,0,2,6.2,
7,,"Grant Leadbitter (78?)29, DMC",0,3,1,0,0,6.01,
8,,"Adam Reach 22, AMR",2,2,0,0,1,6.36,
9,,"Lee Tomlin 26, AMC",1,2,0,0,1,6.77,
10,,"Albert Adomah 27, AML",4,1,0,0,1,5.77,
11,,"Patrick Bamford 21, FW",1,0,1,0,3,6.07,
12,,"Kike (54?)25, Sub",0,0,0,0,0,5.92,
13,,"Adam Forshaw (54?)23, Sub",0,2,0,0,0,6.36,
14,,"Dean Whitehead (78?)33, Sub",0,0,0,0,0,5.99,
15,,"Jelle Vossen 26, Sub",0,0,0,0,0,-,
16,,"Yanic Wildschut 23, Sub",0,0,0,0,0,-,
17,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,-,
18,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
