R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Tomás Mejías 26, GK",1,0,1,0,0,8.18,
2,,"Ryan Fredericks 22, DR",5,3,5,0,0,7.67,
3,,"Kenneth Omeruo 21, DC",2,2,8,2,1,7.25,
4,,"Ben Gibson 22, DC",1,1,1,2,0,6.13,
5,,"George Friend 27, DL",5,2,2,0,0,6.62,
6,,"Adam Clayton 26, DMC",8,1,3,0,3,6.73,
7,,"Grant Leadbitter 29, DMC",1,2,1,0,1,6.09,
8,,"Patrick Bamford (53?)21, AMR",0,1,0,0,0,5.96,
9,,"Lee Tomlin (53?)26, AMC",1,0,0,0,0,5.78,
10,,"Albert Adomah 27, AML",1,0,0,0,0,6.04,
11,,"Kike 25, FW",0,0,0,0,0,5.98,
12,,"Jelle Vossen (53?)25, Sub",0,1,0,0,3,5.95,
13,,"Adam Reach (53?)22, Sub",0,2,0,0,0,6.2,
14,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,-,
15,,"James Husband 21, Sub",0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
