R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,1,0,0,6.4,
2,,"Ryan Fredericks 22, DR",5,5,3,0,2,7.59,
3,,"Daniel Ayala 23, DC",3,5,12,0,0,7.81,
4,,"Ben Gibson 21, DC",0,2,1,0,0,6.47,
5,,"George Friend 27, DL",0,0,4,0,2,6.38,
6,,"Albert Adomah (83?)26, MR",4,0,1,0,2,8.1,
7,,"Grant Leadbitter 28, MC",3,3,1,0,0,6.86,
8,,"Adam Clayton (59?)25, MC",7,2,0,1,3,7.57,
9,,"Adam Reach 21, ML",0,1,0,1,0,6.48,
10,,"Lee Tomlin (45?)25, AMC",1,0,0,0,1,7.25,
11,,"Kike 24, FW",0,0,1,2,0,5.96,
12,,"Dean Whitehead (59?)32, Sub",1,0,0,0,1,6.26,
13,,"Jelle Vossen (45?)25, Sub",2,1,0,0,1,6.44,
14,,"Emilio Nsue Lopez (83?)25, Sub",0,0,0,0,2,5.95,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,-,
16,,"Jamal Blackman 21, Sub",0,0,0,0,0,-,
17,,"Patrick Bamford 21, Sub",0,0,0,0,0,-,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,-,
