R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,1,5.43,
2,,"Ryan Fredericks 22, DR",1,0,5,0,1,6.64,
3,,"Kenneth Omeruo 21, DC",1,2,13,1,2,7.5,
4,,"Ben Gibson 22, DC",1,2,11,1,1,6.69,
5,,"George Friend 27, DL",6,1,1,0,3,6.92,
6,,"Grant Leadbitter 29, DMC",4,2,2,0,1,8.07,
7,,"Adam Forshaw 23, DMC",1,2,2,0,1,6.84,
8,,"Lee Tomlin (84?)26, AMR",0,3,1,0,0,6.59,
9,,"Patrick Bamford 21, AMC",0,0,6,1,4,6.83,
10,,"Emilio Nsue Lopez (61?)25, AML",0,1,3,0,0,6.41,
11,,"Jelle Vossen (44?)25, FW",0,0,1,0,1,6.06,
12,,"Albert Adomah (61?)27, Sub",1,1,1,0,1,6.28,
13,,"Tomás Mejías (44?)26, Sub",0,0,0,0,0,6.16,
14,,"Adam Reach (84?)22, Sub",0,0,0,0,0,5.92,
15,,"Kike 25, Sub",0,0,0,0,0,-,
16,,"James Husband 21, Sub",0,0,0,0,0,-,
17,,"Adam Clayton 26, Sub",0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
