R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,1,0,0,5.78,
2,,"Dean Whitehead (45?)33, DR",1,0,2,0,0,5.95,
3,,"Ben Gibson 22, DC",1,2,2,0,0,6.15,
4,,"Daniel Ayala 24, DC",1,1,6,0,1,5.94,
5,,"George Friend 27, DL",3,2,0,0,0,6.94,
6,,"Adam Clayton 26, DMC",3,1,0,0,2,6.82,
7,,"Grant Leadbitter 29, DMC",4,1,0,0,0,7.24,
8,,"Albert Adomah 27, AMR",4,0,0,0,1,6.38,
9,,"Jelle Vossen (67?)26, AMC",2,0,0,0,2,6.09,
10,,"Lee Tomlin 26, AML",3,0,0,0,2,7.15,
11,,"Patrick Bamford 21, FW",0,1,0,0,0,6.1,
12,,"Emilio Nsue Lopez (45?)25, Sub",3,1,2,0,0,6.64,
13,,"Kike (67?)25, Sub",0,0,0,0,0,5.91,
14,,"Fernando Amorebieta 30, Sub",0,0,0,0,0,-,
15,,"Adam Forshaw 23, Sub",0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,-,
18,,"Adam Reach 22, Sub",0,0,0,0,0,-,
