R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,6.2,
2,,"Ryan Fredericks 22, DR",3,1,0,0,0,6.77,
3,,"Kenneth Omeruo 21, DC",3,1,6,0,2,7.33,
4,,"Ben Gibson 22, DC",2,3,3,0,0,7.2,
5,,"George Friend 27, DL",1,3,4,1,1,7.08,
6,,"Grant Leadbitter 29, DMC",1,2,1,0,1,8.81,
7,,"Adam Clayton 26, DMC",2,5,0,0,1,7.69,
8,,"Albert Adomah (71?)27, AMR",0,1,1,0,3,6.32,
9,,"Lee Tomlin 26, AMC",1,2,1,0,1,9.44,
10,,"Jelle Vossen (88?)25, AML",0,2,0,0,1,7.37,
11,,"Patrick Bamford (71?)21, FW",0,0,1,0,1,7.79,
12,,"Kike (88?)25, Sub",1,0,0,0,0,6.1,
13,,"Adam Reach (71?)22, Sub",0,0,0,0,0,6.14,
14,,"Adam Forshaw (71?)23, Sub",0,0,0,0,1,6.07,
15,,"Tomas Kalas 21, Sub",0,0,0,0,0,-,
16,,"Tomás Mejías 26, Sub",0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
