R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,2,0,0,5.91,
2,,"Emilio Nsue Lopez (70?)25, DR",0,1,2,0,0,6.16,
3,,"Ben Gibson 21, DC",0,1,2,0,0,6.13,
4,,"Daniel Ayala 24, DC",2,2,7,0,2,7.01,
5,,"George Friend 27, DL",0,0,0,0,0,6.41,
6,,"Albert Adomah 26, MR",3,1,3,0,3,6.99,
7,,"Adam Clayton 25, MC",5,2,0,0,2,6.76,
8,,"Grant Leadbitter 28, MC",4,1,1,1,0,6.94,
9,,"Adam Reach (55?)21, ML",0,0,0,1,0,6.19,
10,,"Lee Tomlin 25, AMC",0,0,0,0,4,6.37,
11,,"Kike (81?)25, FW",0,0,0,0,0,6.7,
12,,"Jelle Vossen 25, Sub",0,0,0,0,0,-,
13,,"Yanic Wildschut (81?)23, Sub",0,0,0,0,0,6.01,
14,,"Tomás Mejías 25, Sub",0,0,0,0,0,-,
15,,"James Husband 20, Sub",0,0,0,0,0,-,
16,,"Dean Whitehead 32, Sub",0,0,0,0,0,-,
17,,"Patrick Bamford (55?)21, Sub",0,0,0,0,0,7.05,
18,,"Ryan Fredericks (70?)22, Sub",1,1,1,0,0,6.29,
