R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,7.62,
2,,"Ryan Fredericks 22, DR",4,1,3,0,0,7.28,
3,,"Tomas Kalas 21, DC",1,3,13,0,0,8.17,
4,,"Ben Gibson 22, DC",4,1,8,0,1,7.64,
5,,"George Friend 27, DL",1,3,7,0,1,8.38,
6,,"Adam Clayton 26, DMC",3,1,1,1,4,7.7,
7,,"Grant Leadbitter (81?)29, DMC",2,1,2,0,3,7.2,
8,,"Albert Adomah 27, AMR",2,2,1,0,4,7.47,
9,,"Lee Tomlin (73?)26, AMC",0,0,0,0,3,6.61,
10,,"Patrick Bamford (82?)21, AML",2,0,0,0,2,8.36,
11,,"Kike 25, FW",0,0,1,0,2,7.64,
12,,"Jelle Vossen (73?)25, Sub",0,0,0,0,0,6.95,
13,,"Yanic Wildschut (82?)23, Sub",1,0,0,0,0,6.09,
14,,"Adam Forshaw (81?)23, Sub",0,0,0,0,0,6.19,
15,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
16,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,-,
17,,"Adam Reach 22, Sub",0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
