R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Jamal Blackman 21, GK",0,0,3,0,0,4.81,
2,,"Ryan Fredericks 22, DR",4,2,6,0,2,7.42,
3,,"Kenneth Omeruo 21, DC",3,7,12,0,1,8.17,
4,,"Daniel Ayala 24, DC",5,3,12,4,2,8.67,
5,,"George Friend 27, DL",2,3,13,1,1,7.89,
6,,"Albert Adomah 27, MR",3,3,1,0,1,6.63,
7,,"Adam Clayton 26, MC",2,1,0,0,2,7.76,  
8,,"Grant Leadbitter (111?)29, MC",0,4,3,1,3,7.94,
9,,"Adam Reach 22, ML",4,3,5,0,3,8.23,   
10,,"Lee Tomlin (111?)26, AMC",0,2,0,0,2,7.43,
11,,"Kike (75?)25, FW",0,0,3,0,2,6.15,
12,,"Jelle Vossen (111?)25, Sub",0,0,0,0,1,6.47,
13,,"Yanic Wildschut (75?)23, Sub",0,0,0,0,0,6.45,
14,,"Patrick Bamford (111?)21, Sub",1,0,0,0,0,7.25,  
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,-,
16,,"Dimitrios Konstantopoulos 36, Sub",0,0,0,0,0,-,
17,,"James Husband 21, Sub",0,0,0,0,0,-,
18,,"Ben Gibson 22, Sub",0,0,0,0,0,-,
