R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,5.53,
2,,"Tomas Kalas 21, DR",2,2,5,1,1,7.22,
3,,"Ben Gibson 22, DC",1,1,8,2,1,7.32,
4,,"Daniel Ayala (23?)24, DC",2,2,0,0,0,7.18,
5,,"George Friend 27, DL",2,3,2,1,0,7.42,
6,,"Adam Clayton 26, DMC",2,3,0,2,0,7.79,
7,,"Grant Leadbitter (87?)29, DMC",3,0,0,0,0,7.16,
8,,"Albert Adomah 27, AMR",6,0,1,0,2,8.92,
9,,"Patrick Bamford 21, AMC",0,0,2,0,3,7.75,
10,,"Adam Reach 22, AML",1,0,2,0,3,6.47,
11,,"Jelle Vossen (67?)25, FW",1,1,1,0,5,7.69,
12,,"Emilio Nsue Lopez (87?)25, Sub",0,0,0,0,0,5.93,
13,,"Adam Forshaw (67?)23, Sub",0,1,0,0,0,6.5,
14,,"Jonathan Woodgate (23?)35, Sub",0,3,4,1,0,7.27,
15,,"Kike 25, Sub",0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
18,,"Lee Tomlin 26, Sub",0,0,0,0,0,-,
