R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Tomás Mejías 26, GK",0,0,2,0,0,5.56,
2,,"Emilio Nsue Lopez (65?)25, DR",1,2,5,0,0,6.81,
3,,"Tomas Kalas 21, DC",3,3,7,0,0,7.4,
4,,"Ben Gibson 22, DC",0,0,6,0,1,6.32,
5,,"George Friend 27, DL",2,1,1,0,3,6.5,
6,,"Albert Adomah 27, MR",3,2,1,0,0,7.23,
7,,"Adam Clayton 26, MC",3,2,0,0,3,6.88,
8,,"Grant Leadbitter (78?)29, MC",1,2,0,0,0,6.57,
9,,"Adam Reach (56?)22, ML",0,0,0,0,0,6.44,
10,,"Jelle Vossen 25, FW",1,0,0,0,3,7.13,
11,,"Kike 25, FW",1,0,1,0,0,7.07,
12,,"Lee Tomlin (56?)26, Sub",0,0,0,0,0,6.28,
13,,"Adam Forshaw (78?)23, Sub",0,0,0,0,1,5.88,
14,,"Patrick Bamford (65?)21, Sub",0,0,1,0,2,6,
15,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,-,
16,,"James Husband 21, Sub",0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
