R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,6.96,
2,,"Dean Whitehead 33, DR",0,2,2,0,1,6.73,
3,,"Ben Gibson 22, DC",0,3,6,0,0,7.16,
4,,"Daniel Ayala 24, DC",0,0,4,1,0,6.78,
5,,"George Friend 27, DL",6,2,2,0,2,8.17,
6,,"Albert Adomah 27, MR",2,0,0,0,0,8.05,
7,,"Adam Clayton 26, MC",2,2,0,0,1,7.51,
8,,"Grant Leadbitter (92?)29, MC",9,4,1,0,3,8.43,
9,,"Lee Tomlin (81?)26, ML",2,2,0,0,3,9.01,
10,,"Jelle Vossen 26, FW",2,1,0,0,2,6.81,
11,,"Kike (67?)25, FW",1,0,1,0,0,7.27,
12,,"Adam Reach (67?)22, Sub",0,0,0,0,0,6.14,
13,,"Jonathan Woodgate (92?)35, Sub",0,0,0,0,0,6.03,
14,,"Adam Forshaw (81?)23, Sub",0,1,0,0,0,6.35,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,-,
16,,"Fernando Amorebieta 30, Sub",0,0,0,0,0,-,
17,,"Patrick Bamford 21, Sub",0,0,0,0,0,-,
18,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
