R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,0,0,0,7.28,
2,,"Tomas Kalas 21, DR",0,5,9,0,0,8.5,
3,,"Ben Gibson 22, DC",0,3,10,0,2,7.56,
4,,"Jonathan Woodgate 35, DC",4,6,26,0,0,9.96,
5,,"George Friend 27, DL",3,0,6,0,0,7.32,
6,,"Adam Clayton 26, DMC",4,3,0,0,4,7.19,
7,,"Grant Leadbitter 29, DMC",2,3,1,0,0,7.05,
8,,"Albert Adomah 27, AMR",5,0,0,0,1,7.49,
9,,"Patrick Bamford (87?)21, AMC",0,1,0,0,2,7.63,
10,,"Adam Reach 22, AML",3,2,1,0,2,6.97,
11,,"Jelle Vossen (67?)26, FW",0,0,0,0,1,6.51,
12,,"Kike (87?)25, Sub",0,0,0,0,0,6.04,
13,,"Lee Tomlin (67?)26, Sub",2,1,1,0,1,6.34,
14,,"Dwight Tiendalli 29, Sub",0,0,0,0,0,-,
15,,"Fernando Amorebieta 30, Sub",0,0,0,0,0,-,
16,,"Adam Forshaw 23, Sub",0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
