R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,1,0,0,6.38,
2,,"Ryan Fredericks (60?)22, DR",0,2,2,0,0,6.21,
3,,"Ben Gibson 22, DC",0,2,5,0,1,5.78,
4,,"Daniel Ayala 24, DC",2,5,9,0,2,6.9,
5,,"George Friend 27, DL",1,3,2,0,2,5.49,
6,,"Grant Leadbitter 29, DMC",2,2,0,0,3,6.29,
7,,"Adam Clayton (60?)26, DMC",1,0,0,1,0,5.76,
8,,"Albert Adomah 27, AMR",2,3,1,0,1,8.2,
9,,"Jelle Vossen (60?)26, AMC",2,0,1,0,1,6.15,
10,,"Lee Tomlin 26, AML",0,0,0,0,2,7.39,
11,,"Patrick Bamford 21, FW",0,0,1,0,0,6.36,
12,,"Kike (60?)25, Sub",0,0,0,0,0,7.16,
13,,"Adam Forshaw (60?)23, Sub",1,0,0,0,0,6.7,
14,,"Adam Reach (60?)22, Sub",3,0,1,0,0,7.84,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,-,
16,,"Dwight Tiendalli 29, Sub",0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,-,
18,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
