R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,1,0,0,6.96,
2,,"Tomas Kalas 22, DR",2,1,3,0,0,6.86,
3,,"Ben Gibson 22, DC",2,3,5,1,1,7.11,
4,,"Daniel Ayala 24, DC",3,3,6,0,2,6.96,
5,,"George Friend 27, DL",3,4,2,0,1,6.91,
6,,"Adam Clayton 26, DMC",1,3,0,0,2,6.67,
7,,"Grant Leadbitter 29, DMC",1,2,1,0,3,6.5,
8,,"Albert Adomah 27, AMR",2,1,1,0,0,6.56,
9,,"Diego Fabbrini (73?)25, AMC",1,1,0,0,2,6.45,
10,,"Stewart Downing (88?)31, AML",0,1,0,0,0,6.26,
11,,"Kike (76?)25, FW",0,0,1,0,1,7.15,
12,,"Christian Stuani (76?)28, Sub",1,0,0,0,4,5.87,
13,,"Adam Forshaw (88?)23, Sub",0,0,0,0,0,6,
14,,"Adam Reach (73?)22, Sub",0,1,0,0,0,5.94,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,-,
16,,"Tomás Mejías 26, Sub",0,0,0,0,0,-,
17,,"Jack Stephens 21, Sub",0,0,0,0,0,-,
18,,"David Nugent 30, Sub",0,0,0,0,0,-,
