R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,0,2,0,0,6.1,
2,,"Kenneth Omeruo (57?)21, DR",2,1,6,0,2,6.25,
3,,"Tomas Kalas 21, DC",3,4,4,0,1,6.88,
4,,"Ben Gibson 22, DC",3,1,9,0,1,6.77,
5,,"James Husband 21, DL",2,1,1,1,2,6.03,
6,,"Adam Clayton 26, DMC",3,1,1,0,3,6.13,
7,,"Dean Whitehead (57?)33, DMC",4,1,2,0,1,6.47,
8,,"Albert Adomah 27, AMR",3,2,1,1,1,6.75,
9,,"Adam Forshaw (71?)23, AMC",2,5,0,0,0,6.58,
10,,"Patrick Bamford 21, AML",0,0,0,0,0,6.23,
11,,"Kike 25, FW",1,0,4,0,2,6.85,
12,,"Yanic Wildschut (71?)23, Sub",0,0,2,0,0,6.1,
13,,"Lee Tomlin (57?)26, Sub",0,0,0,0,2,6.14,
14,,"Grant Leadbitter (57?)29, Sub",0,0,0,0,0,6.24,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,-,
18,,"George Friend 27, Sub",0,0,0,0,0,-,
