R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,0,0,0,7.11,
2,,"Ryan Fredericks 22, DR",4,1,3,0,2,7.34,
3,,"Daniel Ayala 23, DC",3,7,5,0,0,8.98,
4,,"Kenneth Omeruo 20, DC",2,0,12,0,0,7.42,
5,,"George Friend 26, DL",3,2,3,0,0,7.7,
6,,"Grant Leadbitter 28, DMC",4,1,0,1,3,7.63,
7,,"Adam Clayton 25, DMC",4,2,0,0,0,7.13,
8,,"Albert Adomah 26, AMR",1,1,0,0,1,7.8,
9,,"Lee Tomlin (66?)25, AMC",1,0,0,0,1,6.95,
10,,"Adam Reach (93?)21, AML",1,1,1,1,0,8.47,
11,,"Kike (82?)24, FW",0,1,1,1,0,7.63,
12,,"Dean Whitehead (82?)32, Sub",0,0,0,0,0,6.24,
13,,"Jelle Vossen (66?)25, Sub",1,0,1,1,1,6.68,
14,,"Emilio Nsue Lopez (93?)25, Sub",0,0,0,0,0,6.32,
15,,"Luke Williams 21, Sub",0,0,0,0,0,-,
16,,"Ben Gibson 21, Sub",0,0,0,0,0,-,
17,,"Yanic Wildschut 22, Sub",0,0,0,0,0,-,
18,,"Jamal Blackman 20, Sub",0,0,0,0,0,-,
