R,,Name,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,0,1,0,0,7.34,
2,,"Emilio Nsue Lopez 25, DR",0,2,4,0,0,7.03,
3,,"Daniel Ayala 23, DC",1,4,12,0,4,8.94,
4,,"Ben Gibson 21, DC",0,1,7,0,1,6.93,
5,,"George Friend (88?)27, DL",1,2,4,0,0,7.95,
6,,"Adam Reach 21, MR",6,0,1,1,1,7.81,
7,,"Grant Leadbitter 28, MC",1,1,1,1,0,7.83,
8,,"Adam Clayton 25, MC",2,2,2,1,1,7.6,
9,,"Yanic Wildschut 23, ML",2,1,0,0,1,8.49,
10,,"Kike (60?)24, FW",0,0,0,0,1,6.67,
11,,"Patrick Bamford (72?)21, FW",0,1,0,0,2,7.48,
12,,"Dean Whitehead 32, Sub",0,0,0,0,0,-,
13,,"Jelle Vossen (72?)25, Sub",1,0,0,0,0,6.29,
14,,"Ryan Fredericks 22, Sub",0,0,0,0,0,-,
15,,"James Husband (88?)20, Sub",0,0,0,0,0,6.04,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,-,
17,,"Lee Tomlin (60?)25, Sub",0,0,0,0,0,7.13,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,-,
