R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1,Burnley,11.3,3.6,4.7,8.7,6.87
2,Birmingham,11.9,4,6,12.3,6.85
3,Middlesbrough,12,4.4,6.4,10.6,6.85
4,Derby,12.3,4,8,11,6.83
5,Hull,14.7,4.4,8.3,9.8,6.82
6,Nottingham Forest,11.5,3.9,7.3,9.9,6.79
7,Ipswich,11.3,3.9,4.7,8.1,6.78
8,Brighton,11.2,3.7,5.8,9.3,6.78
9,Wolverhampton Wanderers,11.1,3.6,7.5,9.2,6.76
10,Brentford,11.9,4.6,8.1,11.6,6.75
11,Reading,15.2,4.6,8.3,11.9,6.74
12,Cardiff,11.6,3.6,6.9,8.7,6.74
13,Preston,11.5,3.8,4.1,10,6.72
14,Leeds,12.3,3.7,5.8,11.1,6.72
15,Rotherham,10.4,3.6,5.8,10.5,6.69
16,Blackburn,11.1,3.3,4.7,10.8,6.69
17,Queens Park Rangers,10.5,3.4,7.1,8.6,6.69
18,Sheffield Wednesday,10.4,3.2,6,10.8,6.68
19,Fulham,11.2,4.2,6.6,8.7,6.67
20,Huddersfield,11.9,4,8.7,10.6,6.67
21,Bristol City,11.3,3.3,6,10.9,6.66
22,Milton Keynes Dons,8.5,2.7,6.1,13.1,6.64
23,Bolton,9.7,3,7.2,11.9,6.55
24,Charlton,9,3.4,6.4,7.5,6.54
