R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Sunderland,8,8,1,4,1,3,2,6,10,2,2,1,3,1,4,6,1,3,3,3,1
2,Wigan,6,17,2,4,3,3,3,4,8,1,3,2,3,2,4,9,4,4,2,2,1
3,Ipswich,4,11,3,4,3,3,2,6,13,2,2,2,2,1,1,5,2,4,1,2,2
4,Derby,4,9,4,6,2,2,2,3,8,3,3,3,2,3,6,7,1,3,2,1,2
5,Preston,3,10,2,4,3,2,2,4,14,2,2,1,3,1,3,4,1,9,4,1,3
6,West Ham,3,8,2,5,3,3,2,4,7,2,3,2,2,1,3,5,1,6,2,2,1
7,Reading,3,8,3,11,3,3,4,5,13,2,5,1,2,1,2,3,2,7,2,2,3
8,Sheffield United,3,9,2,5,4,3,3,2,9,3,3,3,2,2,2,5,2,5,4,2,5
9,Wolverhampton Wanderers,3,18,5,7,3,1,2,3,12,4,5,1,2,1,2,9,4,4,4,1,3
10,Millwall,3,5,2,4,3,3,3,3,6,2,6,2,2,2,1,3,2,8,4,2,2
11,Queens Park Rangers,7,7,1,7,5,2,2,5,8,2,3,2,2,2,4,5,1,8,8,4,3
12,Stoke,3,6,3,7,5,4,6,4,5,1,3,2,2,3,2,3,2,7,3,3,3
13,Burnley,3,8,3,5,2,3,3,4,5,2,4,2,5,4,2,4,4,8,5,3,4
14,Leeds,2,5,4,5,3,3,3,2,6,2,5,2,2,2,3,4,3,4,2,1,2
15,Leicester,2,8,6,8,2,3,3,2,6,4,4,2,2,3,1,7,5,12,2,2,2
16,Cardiff,2,7,3,7,4,3,3,3,4,1,5,4,3,5,1,3,3,8,3,2,1
17,Plymouth,3,4,2,8,4,3,3,3,8,3,4,2,2,1,2,2,1,11,4,2,4
18,Watford,2,9,5,11,4,3,3,3,5,5,10,2,2,2,3,5,3,9,4,3,2
19,Coventry,2,4,3,9,5,1,1,2,6,2,7,5,1,1,2,3,1,6,2,1,2
20,Brighton,2,7,3,9,6,2,2,2,3,3,5,2,1,1,2,4,2,7,5,2,2
21,Crewe,3,8,3,19,4,1,2,2,5,2,10,2,1,1,2,4,2,9,2,1,2
22,Gillingham,2,9,3,9,7,3,3,3,6,2,5,5,3,4,1,5,3,14,4,1,2
23,Nottingham Forest,2,6,4,9,2,3,3,2,4,3,5,1,1,1,2,4,2,16,7,4,3
24,Rotherham,1,3,3,20,6,2,6,1,3,2,10,4,1,2,2,4,2,12,3,1,6
