R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Fulham,11,12,2,3,1,3,2,7,8,2,2,1,2,1,5,11,2,2,1,4,1
2,Blackburn,6,10,2,5,2,3,1,4,10,1,2,1,3,1,4,9,2,5,3,2,2
3,Bolton,6,8,3,4,2,3,1,5,8,4,7,1,2,1,4,9,2,5,2,4,1
4,Preston,4,7,2,4,4,5,3,3,7,3,3,2,4,2,3,5,1,3,3,3,2
5,Birmingham,5,6,3,10,4,3,2,7,10,1,4,3,2,3,2,3,2,6,2,1,1
6,West Bromwich Albion,4,8,2,4,3,3,2,3,6,2,2,1,2,1,3,5,2,4,2,3,1
7,Burnley,4,7,1,6,5,2,3,6,10,3,3,3,5,2,3,3,1,10,3,2,3
8,Milton Keynes Dons,2,10,4,4,2,2,3,5,6,3,8,2,2,4,3,8,5,7,2,2,1
9,Watford,7,15,1,8,5,3,2,5,8,1,4,2,3,1,4,7,1,6,4,2,2
10,Sheffield United,4,6,3,5,3,3,2,3,7,1,4,2,3,1,1,3,2,5,3,3,3
11,Nottingham Forest,4,4,1,4,3,3,2,3,3,1,4,2,2,3,3,6,1,3,3,2,3
12,Wolverhampton Wanderers,2,5,2,6,3,2,3,2,5,2,6,2,3,5,3,3,2,7,2,1,2
13,Gillingham,2,9,4,6,3,2,4,3,6,2,5,3,2,3,1,5,4,8,1,1,2
14,Crewe,2,5,2,6,4,2,3,6,9,1,5,2,3,2,1,3,2,9,6,1,5
15,Norwich,2,4,2,5,5,3,2,2,8,2,4,2,3,3,1,2,1,8,5,1,3
16,Barnsley,3,4,2,7,4,3,4,4,5,1,5,3,4,3,2,4,3,8,4,1,5
17,Sheffield Wednesday,3,5,1,9,8,2,3,2,4,1,6,4,2,2,2,2,1,7,4,1,3
18,Grimsby,3,4,1,7,4,2,3,3,6,2,4,2,1,2,1,2,1,6,5,2,2
19,Stockport,2,5,4,12,3,2,2,2,6,3,6,2,2,2,1,4,2,8,5,1,2
20,Portsmouth,3,9,5,9,3,2,2,2,9,3,4,2,2,2,1,5,2,16,3,1,2
21,Crystal Palace,3,9,2,8,6,2,3,2,5,3,7,3,2,3,2,4,2,6,3,1,3
22,Huddersfield,3,10,4,17,4,3,7,3,6,3,9,5,4,3,1,4,2,9,4,3,4
23,Queens Park Rangers,2,4,4,13,4,3,2,1,5,3,5,2,3,1,1,3,3,14,3,2,4
24,Tranmere,2,2,2,9,5,1,2,2,5,2,4,2,1,1,1,1,1,20,7,1,3
