R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
,,,,,,,,,,,,,,,,,,,,,,
1,Burnley,6,23,3,6,1,4,3,5,13,2,2,1,4,1,3,11,3,5,2,2,3
,,,,,,,,,,,,,,,,,,,,,,
2,Middlesbrough,6,10,4,5,2,9,3,6,11,2,2,1,9,1,4,4,2,3,3,4,2
,,,,,,,,,,,,,,,,,,,,,,
3,Brighton,5,21,3,7,3,5,5,4,10,1,3,3,3,3,4,12,6,7,1,2,2
,,,,,,,,,,,,,,,,,,,,,,
4,Hull,5,11,2,5,2,5,2,5,14,4,4,1,5,2,2,6,1,4,3,2,3
,,,,,,,,,,,,,,,,,,,,,,
5,Derby,4,10,4,8,2,3,1,5,10,2,4,1,4,3,3,7,2,4,2,3,1
,,,,,,,,,,,,,,,,,,,,,,
6,Sheffield Wednesday,4,9,3,6,2,4,3,4,14,2,2,1,2,1,2,4,2,5,2,4,3
,,,,,,,,,,,,,,,,,,,,,,
7,Ipswich,3,6,3,7,3,2,3,2,6,4,5,2,3,2,5,7,3,5,3,2,3
,,,,,,,,,,,,,,,,,,,,,,
8,Cardiff,3,6,3,4,2,4,3,2,13,2,2,1,3,1,2,3,3,6,3,2,4
,,,,,,,,,,,,,,,,,,,,,,
9,Brentford,4,6,1,4,4,3,2,3,4,1,5,2,1,2,3,5,3,4,4,2,2
,,,,,,,,,,,,,,,,,,,,,,
10,Birmingham,4,6,4,6,3,3,3,4,4,2,6,3,2,4,3,6,2,6,2,3,5
,,,,,,,,,,,,,,,,,,,,,,
11,Preston,4,6,2,9,3,6,2,3,5,4,7,2,3,2,2,5,3,4,3,3,2
,,,,,,,,,,,,,,,,,,,,,,
12,Queens Park Rangers,3,5,3,7,2,3,4,3,9,3,5,1,5,1,2,5,3,9,5,2,3
,,,,,,,,,,,,,,,,,,,,,,
13,Leeds,3,7,4,6,3,2,2,2,5,3,7,4,1,2,2,4,2,5,2,1,2
,,,,,,,,,,,,,,,,,,,,,,
14,Wolverhampton Wanderers,4,6,3,7,3,3,2,2,7,4,6,2,4,4,2,4,2,6,3,2,3
,,,,,,,,,,,,,,,,,,,,,,
15,Blackburn,2,8,2,9,3,3,4,4,5,2,4,3,4,2,2,4,2,8,3,2,3
,,,,,,,,,,,,,,,,,,,,,,
16,Nottingham Forest,2,13,4,8,4,4,2,4,10,2,6,3,2,2,2,6,4,9,4,2,3
,,,,,,,,,,,,,,,,,,,,,,
17,Reading,4,5,3,7,4,3,2,2,8,3,3,3,3,2,3,5,1,10,6,1,1
,,,,,,,,,,,,,,,,,,,,,,
18,Bristol City,3,4,2,6,3,2,2,1,3,2,5,2,2,2,3,3,2,7,4,2,4
,,,,,,,,,,,,,,,,,,,,,,
19,Huddersfield,2,5,3,6,3,2,2,3,4,2,5,4,1,2,1,2,1,5,2,1,2
,,,,,,,,,,,,,,,,,,,,,,
20,Fulham,3,5,3,9,2,1,1,2,3,2,4,3,1,2,1,4,3,7,2,1,1
,,,,,,,,,,,,,,,,,,,,,,
21,Rotherham,3,11,3,7,4,2,3,3,7,2,4,2,3,1,2,5,1,8,4,2,2
,,,,,,,,,,,,,,,,,,,,,,
22,Charlton,2,4,2,11,5,2,5,2,3,2,10,3,2,2,1,2,2,8,6,1,3
,,,,,,,,,,,,,,,,,,,,,,
23,Milton Keynes Dons,1,3,2,11,5,2,3,2,2,1,5,5,1,1,1,2,2,14,3,2,2
,,,,,,,,,,,,,,,,,,,,,,
24,Bolton,1,4,2,17,6,1,3,2,5,3,8,3,2,1,.,1,1,23,8,1,3
