R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Leicester,9,21,2,3,2,4,1,6,12,1,1,1,2,1,5,13,2,2,2,2,1
2,Burnley,7,16,3,5,1,3,2,5,19,2,2,2,2,2,4,12,2,6,1,2,2
3,Derby,7,9,2,4,2,3,4,5,7,1,5,3,3,2,3,5,2,4,2,1,2
4,Queens Park Rangers,4,11,1,5,3,8,3,5,10,1,3,1,5,2,3,5,2,5,3,3,2
5,Wigan,6,8,2,4,4,4,3,4,11,2,2,2,3,2,4,4,1,5,4,2,5
6,Brighton,3,8,3,5,3,2,3,3,6,2,3,2,3,2,2,5,2,4,1,3,4
7,Reading,3,6,2,4,3,3,2,3,9,2,7,2,3,2,3,6,1,4,2,1,2
8,Blackburn,3,12,4,4,3,3,2,2,6,2,4,2,3,1,2,6,3,5,2,2,1
9,Ipswich,3,8,2,5,2,1,2,3,5,2,3,1,4,1,2,8,3,7,2,3,2
10,Bournemouth,5,6,2,7,2,4,2,3,6,2,4,2,2,2,2,4,2,6,2,2,1
11,Nottingham Forest,3,14,2,12,3,4,3,5,7,1,6,2,2,2,1,8,4,6,2,2,1
12,Middlesbrough,4,6,3,8,2,3,7,3,8,4,5,1,7,3,2,4,2,9,5,2,5
13,Watford,3,6,2,10,4,3,3,5,9,2,5,5,5,4,1,7,6,12,3,1,2
14,Bolton,3,8,2,10,4,2,2,2,5,4,7,2,2,2,3,8,2,5,4,2,1
15,Leeds,3,5,2,7,5,2,3,5,7,2,5,2,2,1,2,3,2,7,4,1,2
16,Sheffield Wednesday,2,8,4,12,3,2,2,4,4,2,5,2,3,2,2,7,4,9,4,2,3
17,Huddersfield,3,5,3,10,3,1,2,3,5,1,6,2,2,2,2,2,2,6,4,1,3
18,Charlton,2,5,2,6,4,4,3,1,3,3,5,2,3,2,2,3,3,10,4,2,2
19,Millwall,3,8,3,7,3,2,3,2,7,3,9,3,2,2,3,4,2,12,4,1,3
20,Blackpool,3,7,4,17,4,3,4,3,7,2,8,4,3,2,1,4,2,15,7,2,3
21,Birmingham,1,10,2,6,5,3,2,2,5,5,18,5,1,2,3,6,1,6,5,3,4
22,Doncaster,2,4,1,8,4,2,2,3,8,2,4,4,4,3,1,2,2,15,4,1,5
23,Barnsley,2,4,3,6,4,1,3,2,5,2,6,3,2,5,2,2,2,8,6,1,3
24,Yeovil,2,5,3,11,4,2,4,2,4,2,6,5,3,4,1,3,2,7,3,1,2
