R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Manchester City,6,8,2,4,1,2,1,10,18,2,3,1,2,1,3,4,1,2,2,1,1
2,West Bromwich Albion,5,10,3,4,2,6,1,5,12,1,2,1,5,1,5,5,2,4,2,5,2
3,Wolverhampton Wanderers,7,11,2,4,2,4,2,6,6,1,3,2,3,3,5,8,2,3,1,3,1
4,Millwall,3,9,2,4,4,4,3,3,7,1,2,2,3,1,2,6,2,5,3,3,2
5,Birmingham,4,10,2,5,3,3,2,4,5,1,2,2,4,1,2,5,3,6,1,2,1
6,Norwich,4,7,2,5,3,4,2,6,9,2,2,1,3,2,2,3,1,7,4,3,2
7,Burnley,6,10,3,5,2,3,2,3,11,2,6,2,2,1,4,5,2,5,4,2,3
8,Preston,4,11,3,5,2,2,2,5,9,2,4,1,2,2,2,5,3,4,4,1,1
9,Milton Keynes Dons,3,6,3,6,3,3,2,3,6,3,4,2,3,2,3,5,2,5,2,3,1
10,Crystal Palace,7,7,2,4,4,3,3,6,6,1,5,3,3,4,3,5,1,8,6,1,4
11,Coventry,4,11,1,7,5,5,4,5,6,1,3,2,3,3,2,6,1,6,6,3,3
12,Gillingham,3,8,2,4,4,3,2,4,8,2,4,2,2,2,2,4,1,6,3,1,2
13,Sheffield United,2,8,5,6,2,3,3,3,4,3,6,2,2,2,3,4,2,7,3,2,6
14,Watford,2,7,2,6,3,5,2,3,5,2,4,3,2,2,2,5,2,7,4,4,3
15,Bradford,3,6,2,6,4,2,3,2,3,1,3,3,1,2,1,5,3,7,4,1,3
16,Nottingham Forest,2,6,3,6,4,3,3,5,8,3,9,2,2,2,1,5,3,6,2,1,4
17,Portsmouth,3,6,2,8,4,2,2,3,5,2,4,2,2,1,1,4,2,7,5,1,3
18,Walsall,3,5,1,9,4,2,4,2,6,1,4,2,2,3,2,2,2,13,6,1,1
19,Grimsby,2,4,2,10,6,3,3,3,7,1,5,3,2,2,1,2,2,16,4,2,6
20,Sheffield Wednesday,2,5,2,11,2,3,2,2,3,2,6,2,2,2,2,4,2,7,3,2,2
21,Rotherham,2,5,3,10,2,2,2,3,13,4,5,1,2,1,2,3,1,10,3,2,2
22,Crewe,2,5,3,11,3,2,3,2,6,3,5,3,2,2,2,3,1,7,5,1,2
23,Barnsley,2,12,4,9,3,2,2,3,8,2,4,2,1,1,1,5,3,12,6,1,3
24,Stockport,1,2,2,17,10,1,5,2,2,1,8,8,1,3,1,3,2,18,7,1,3
