R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Reading,8,10,3,4,4,5,2,8,9,3,3,2,4,1,4,6,1,3,2,2,2
2,Southampton,4,12,2,3,2,3,2,10,12,1,3,2,3,2,4,7,2,5,2,2,2
3,West Ham,4,11,5,5,2,2,1,4,9,5,7,1,2,1,4,8,2,3,1,2,1
4,Birmingham,4,11,4,4,2,4,2,3,16,2,3,1,4,1,3,5,3,6,3,1,1
5,Blackpool,3,7,2,3,2,3,1,3,8,1,3,1,3,1,3,4,2,6,3,2,1
6,Cardiff,3,10,4,5,2,3,2,4,8,4,6,2,3,3,3,9,3,6,2,2,1
7,Middlesbrough,4,11,4,8,3,5,3,2,9,4,4,1,2,2,4,5,3,5,2,3,3
8,Hull,4,11,5,6,5,6,3,4,6,3,5,2,5,2,1,5,3,6,3,2,2
9,Leicester,2,7,2,5,2,4,2,4,8,3,5,2,3,2,2,5,4,6,2,2,3
10,Brighton,3,12,3,9,4,2,4,3,9,2,4,1,3,2,3,5,2,7,3,1,3
11,Watford,3,8,4,5,4,2,3,3,7,3,4,2,2,2,3,7,3,6,4,2,3
12,Derby,4,5,2,7,5,3,4,4,4,2,3,3,1,3,2,2,1,7,3,2,2
13,Burnley,3,4,2,7,4,3,2,2,5,2,4,2,3,1,3,3,1,5,3,2,2
14,Leeds,2,7,1,4,3,2,3,4,6,2,5,3,1,2,3,4,2,4,2,4,2
15,Ipswich,4,6,2,7,7,3,1,5,8,1,4,4,2,1,2,3,2,6,3,2,2
16,Millwall,5,7,2,10,3,3,5,2,4,3,8,4,2,4,3,5,1,6,4,5,5
17,Crystal Palace,3,10,3,9,3,5,5,2,7,4,5,2,4,3,3,5,5,10,3,2,2
18,Peterborough,2,5,2,7,3,2,2,2,2,1,3,2,1,1,2,3,1,11,3,1,2
19,Nottingham Forest,2,4,2,7,4,2,7,2,2,2,7,6,2,6,2,4,1,4,3,3,4
20,Bristol City,3,8,2,10,5,2,3,2,4,1,7,3,2,3,1,5,2,7,5,1,6
21,Barnsley,4,7,5,7,4,1,4,3,4,2,4,2,2,3,2,5,3,10,7,1,6
22,Portsmouth,2,4,2,9,3,2,3,3,7,1,5,2,1,3,1,2,2,9,5,1,4
23,Coventry,2,7,4,11,4,2,3,3,6,2,5,3,2,2,1,3,2,19,10,1,4
24,Doncaster,1,5,2,11,4,2,3,3,5,3,11,6,2,2,1,2,1,8,6,2,3
