R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Norwich,7,8,2,3,1,3,1,8,9,2,2,1,4,1,3,8,3,4,2,4,2
2,West Bromwich Albion,6,10,2,4,3,3,2,5,8,5,6,1,3,3,3,7,2,4,2,2,2
3,Sunderland,5,9,3,6,3,4,4,4,19,4,4,1,4,2,3,3,1,3,2,2,3
4,West Ham,4,8,5,8,1,3,3,3,9,3,4,2,3,1,2,12,6,6,4,2,2
5,Ipswich,5,6,2,6,3,1,2,5,5,2,3,2,1,1,4,10,2,5,3,1,2
6,Crystal Palace,5,7,2,7,3,2,2,3,10,2,6,2,2,2,5,5,1,7,5,2,4
7,Wigan,6,14,4,5,1,3,2,3,10,2,3,1,4,2,3,7,3,7,3,2,3
8,Sheffield United,4,6,2,5,4,3,3,4,7,3,5,2,4,1,3,3,2,5,2,2,2
9,Reading,2,5,2,5,3,3,3,3,5,1,3,2,2,2,2,3,1,3,3,1,3
10,Millwall,3,7,3,8,3,2,2,3,7,3,4,2,5,3,2,5,2,10,3,2,1
11,Stoke,4,9,2,5,3,2,2,3,8,2,2,2,1,2,4,5,2,9,8,3,3
12,Coventry,3,8,6,8,3,3,3,3,5,4,5,1,2,2,4,5,3,5,5,3,1
13,Cardiff,3,8,3,5,4,2,3,3,8,2,5,2,5,2,2,5,2,5,3,1,2
14,Nottingham Forest,4,8,3,17,5,2,7,2,9,2,8,3,2,3,2,4,2,9,3,1,4
15,Preston,3,7,3,6,3,3,2,4,11,3,3,2,1,1,2,4,2,9,3,2,2
16,Watford,3,6,2,6,3,3,3,2,7,2,3,1,2,1,2,3,1,5,4,1,2
17,Rotherham,3,8,4,7,4,2,4,3,4,1,3,2,3,2,3,4,3,10,3,2,3
18,Crewe,2,5,1,6,3,2,3,4,6,1,4,4,2,1,1,3,2,6,3,1,3
19,Burnley,3,6,3,7,4,2,2,2,7,3,4,2,2,1,2,3,3,16,2,2,2
20,Derby,2,5,2,8,4,2,2,3,7,1,5,3,2,1,1,4,2,18,5,1,3
21,Gillingham,2,3,2,5,5,3,4,2,2,1,2,2,1,2,1,4,2,9,4,2,5
22,Walsall,2,4,2,10,5,2,5,3,5,2,6,2,2,2,2,3,1,7,4,2,3
23,Bradford,2,3,2,12,5,2,5,2,3,1,5,4,2,2,1,2,2,10,5,1,5
24,Milton Keynes Dons,1,2,1,12,11,2,7,1,1,1,14,7,1,7,1,1,1,7,7,1,3
