R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Newcastle United,7,17,3,4,2,5,2,9,23,2,2,.,4,1,5,9,3,5,2,3,2
2,West Bromwich Albion,5,12,2,3,2,2,2,9,10,1,2,1,3,1,2,11,2,3,2,2,2
3,Nottingham Forest,5,19,4,4,2,5,2,12,19,1,2,2,8,1,2,13,4,10,7,3,4
4,Cardiff,3,10,3,4,3,3,2,2,7,1,2,2,2,2,2,5,2,4,4,2,3
5,Leicester,5,8,2,5,4,3,3,3,9,3,3,1,2,2,2,6,2,4,3,1,2
6,Blackpool,4,5,4,5,3,3,2,6,9,2,4,2,3,1,2,3,2,7,3,1,3
7,Swansea,3,12,2,6,2,3,3,3,9,3,4,1,4,3,2,7,3,5,4,2,3
8,Sheffield United,3,7,2,8,4,3,2,4,11,2,4,2,6,2,2,4,2,12,7,1,3
9,Reading,4,7,3,7,4,2,3,6,10,2,8,2,2,2,2,2,2,4,3,1,2
10,Bristol City,2,7,3,6,2,2,2,3,8,3,5,1,2,1,2,3,2,6,2,2,4
11,Middlesbrough,3,8,3,5,3,4,3,3,12,2,4,3,2,3,2,4,2,6,3,2,3
12,Doncaster,4,6,4,7,3,4,2,4,6,2,4,3,3,2,2,4,2,9,3,2,2
13,Crystal Palace,2,6,3,6,3,3,3,2,6,1,3,3,2,2,1,4,3,5,1,2,2
14,Queens Park Rangers,3,6,4,7,5,2,3,3,6,3,5,2,1,1,2,3,1,13,4,2,4
15,Derby,2,5,3,5,4,2,3,3,3,1,4,3,2,2,1,4,2,10,3,4,5
16,Ipswich,2,10,3,14,2,2,2,3,14,3,7,1,4,2,1,4,2,8,3,1,1
17,Watford,2,7,2,6,4,2,3,4,4,2,3,3,3,2,1,6,1,16,4,1,3
18,Preston,2,6,2,7,3,2,2,3,9,3,6,1,3,2,1,3,1,9,4,1,3
19,Barnsley,3,8,4,10,5,2,3,2,5,2,4,3,2,2,2,3,2,7,3,2,2
20,Coventry,3,5,3,11,3,2,3,3,8,3,6,1,2,1,2,3,2,5,3,2,3
21,Scunthorpe,3,4,2,5,4,2,3,2,5,2,2,2,1,2,2,2,2,9,5,1,2
22,Sheffield Wednesday,3,6,3,11,5,1,6,3,4,2,6,5,2,3,2,4,4,10,4,1,3
23,Plymouth,2,3,2,9,7,1,5,1,4,3,5,4,1,4,2,2,1,4,3,1,3
24,Peterborough,2,4,3,9,5,2,3,2,4,2,5,5,1,2,1,2,2,17,7,1,4
