R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Portsmouth,7,11,4,4,1,2,1,6,8,2,3,1,2,1,3,12,3,3,1,1,1
2,Leicester,5,15,3,3,1,4,2,6,10,1,2,1,3,1,3,7,3,3,1,2,2
3,Sheffield United,3,10,2,4,4,5,2,3,8,2,2,2,2,1,3,5,2,5,3,4,3
4,Reading,6,7,1,4,3,7,4,4,6,1,3,2,4,2,3,4,1,3,3,4,2
5,Wolverhampton Wanderers,3,10,3,5,3,4,2,2,10,3,5,2,4,1,3,6,2,3,3,2,1
6,Nottingham Forest,3,11,3,5,2,4,2,5,10,2,3,1,2,1,2,7,3,8,4,3,3
7,Ipswich,3,9,3,6,2,2,1,5,5,2,3,2,1,1,3,6,2,3,2,2,1
8,Norwich,3,7,2,6,4,2,3,4,8,2,5,2,4,2,2,7,2,9,5,1,3
9,Millwall,4,4,2,5,4,3,3,4,9,2,4,2,2,2,2,2,1,5,3,1,2
10,Milton Keynes Dons,4,7,4,7,4,2,3,4,8,3,5,3,2,2,1,3,2,4,4,1,1
11,Gillingham,3,7,2,6,2,3,3,5,7,2,5,2,3,2,2,4,2,5,3,1,3
12,Preston,3,8,4,6,5,2,3,2,6,3,4,1,2,1,2,4,3,6,4,2,2
13,Watford,3,7,2,9,4,2,3,3,9,1,5,3,3,2,2,3,1,6,4,1,3
14,Crystal Palace,3,9,5,6,2,2,3,3,7,4,5,1,3,2,2,7,5,6,3,1,2
15,Rotherham,2,5,2,6,2,2,2,2,5,2,5,3,2,2,3,4,2,7,3,1,3
16,Burnley,4,10,3,7,4,3,4,3,5,1,4,2,2,2,2,5,2,8,6,2,3
17,Walsall,2,5,2,6,4,4,3,4,4,2,3,3,2,2,2,2,2,11,5,2,3
18,Derby,2,4,3,9,5,2,3,3,4,2,4,2,2,1,2,3,1,5,5,3,3
19,Bradford,3,4,2,7,7,1,4,3,8,4,4,3,2,2,3,5,1,8,8,1,3
20,Coventry,4,8,4,12,4,4,5,2,3,2,10,4,3,4,2,5,3,6,3,2,3
21,Stoke,2,7,3,16,8,4,3,3,6,2,8,5,4,2,1,3,2,14,4,2,4
22,Sheffield Wednesday,2,7,4,10,4,2,3,2,4,2,5,3,3,2,1,4,4,13,4,1,2
23,Brighton,3,4,3,13,12,2,4,4,5,2,7,6,4,3,1,2,2,11,6,2,4
24,Grimsby,2,4,2,9,5,2,3,1,5,2,5,4,2,3,1,4,2,5,3,1,3
