R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Queens Park Rangers,4,19,4,4,2,5,2,4,11,3,3,1,6,2,3,9,4,5,1,3,3
2,Norwich,4,9,4,5,1,2,1,4,12,2,2,1,1,1,2,7,2,4,1,3,1
3,Swansea,4,7,1,3,2,6,2,4,8,2,2,1,4,2,4,6,1,5,4,3,2
4,Cardiff,5,8,2,4,2,3,2,3,8,1,3,2,2,2,3,5,1,5,4,2,1
5,Reading,8,13,5,6,2,2,2,5,8,4,4,1,3,2,4,8,2,4,1,3,2
6,Nottingham Forest,6,10,4,9,3,2,1,4,17,3,4,1,2,2,3,4,2,8,4,2,2
7,Leeds,3,12,3,5,2,2,2,3,16,2,4,3,2,1,3,7,2,4,4,1,1
8,Burnley,3,6,3,6,4,3,2,3,6,2,3,2,3,1,2,5,5,9,3,1,3
9,Millwall,2,9,2,6,2,3,2,6,6,1,4,1,3,1,2,5,4,9,2,2,1
10,Leicester,5,8,1,5,3,2,2,4,13,1,3,2,2,1,2,4,1,5,4,2,2
11,Hull,2,9,3,8,2,3,2,2,5,2,5,3,5,3,4,17,3,4,3,3,1
12,Middlesbrough,4,7,2,7,4,2,2,3,7,2,3,2,1,1,2,3,1,7,6,1,3
13,Ipswich,3,6,1,6,6,2,2,2,3,1,4,3,1,1,2,4,2,5,3,2,1
14,Watford,6,8,2,8,3,2,2,4,7,2,4,1,2,1,3,5,3,5,4,2,1
15,Bristol City,4,5,2,6,3,3,4,4,8,2,5,3,3,3,2,2,2,6,3,2,2
16,Portsmouth,6,7,2,9,3,6,3,4,7,2,7,1,5,3,2,3,2,5,4,2,2
17,Barnsley,3,5,2,6,2,3,2,3,4,1,2,1,3,1,2,3,3,10,3,1,4
18,Coventry,3,5,2,10,3,4,2,2,4,2,5,3,2,1,2,4,3,10,4,2,2
19,Derby,3,6,1,8,5,2,3,6,6,1,9,5,1,2,1,3,2,6,4,2,1
20,Crystal Palace,2,4,3,5,4,2,3,3,13,2,4,3,8,2,1,3,3,17,5,1,5
21,Doncaster,2,4,3,12,4,1,4,2,5,3,9,2,1,2,1,2,1,7,3,1,2
22,Preston,3,3,3,14,4,1,3,3,3,1,7,2,2,2,2,4,3,12,3,1,2
23,Sheffield United,2,3,2,14,4,2,2,2,2,2,7,2,1,1,1,2,1,12,7,1,3
24,Scunthorpe,2,3,2,7,5,2,4,2,4,2,11,6,2,2,3,3,1,9,9,2,6
