R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Wolverhampton Wanderers,7,8,2,5,2,3,1,4,8,2,4,1,3,2,4,4,2,5,3,3,1
2,Birmingham,3,9,2,3,2,2,2,3,10,2,3,1,3,1,2,6,2,6,1,3,2
3,Sheffield United,5,11,3,4,1,4,2,3,8,2,4,3,4,1,2,15,2,2,2,3,2
4,Reading,5,9,2,5,2,3,4,6,8,1,8,2,3,3,2,9,3,4,2,3,2
5,Burnley,3,7,2,5,5,2,3,5,11,1,2,2,4,2,2,6,2,5,3,1,1
6,Preston,4,6,3,4,4,2,2,6,12,2,2,2,4,1,2,4,2,7,4,1,2
7,Cardiff,3,13,4,4,2,3,2,4,10,2,3,1,5,1,1,7,3,4,2,2,2
8,Swansea,3,13,8,9,2,4,2,4,10,4,5,1,2,1,1,8,4,7,2,2,2
9,Ipswich,3,6,3,5,2,2,2,2,9,3,5,2,2,1,3,4,2,5,3,2,1
10,Bristol City,5,8,2,8,2,4,2,3,11,4,6,1,3,1,3,4,1,6,6,3,3
11,Queens Park Rangers,2,9,3,9,2,3,4,3,6,3,6,2,2,2,2,6,2,10,3,2,8
12,Sheffield Wednesday,2,5,3,5,3,2,2,2,6,2,4,2,4,3,1,4,2,5,3,1,2
13,Watford,3,4,2,6,5,3,3,4,7,3,4,2,3,1,1,2,1,9,4,1,3
14,Doncaster,4,8,3,12,6,3,3,4,6,1,6,4,4,6,4,4,2,11,7,1,2
15,Crystal Palace,3,8,3,6,4,3,4,3,6,2,4,2,3,3,2,3,1,4,3,1,3
16,Blackpool,2,7,4,6,4,2,3,1,5,2,4,4,1,2,2,6,2,4,1,2,2
17,Coventry,2,5,2,8,3,2,3,2,5,3,7,2,3,2,2,3,2,6,3,2,2
18,Derby,4,7,2,6,4,1,4,2,8,2,4,2,1,2,2,3,1,9,4,1,4
19,Nottingham Forest,4,6,3,10,4,2,4,3,3,1,7,1,1,2,3,8,4,6,6,1,2
20,Barnsley,2,4,3,8,4,2,5,2,4,1,4,2,1,2,2,4,3,6,3,1,5
21,Plymouth,3,5,2,9,3,2,4,3,3,1,4,3,3,2,2,4,2,8,4,2,6
22,Norwich,2,4,3,7,3,2,2,2,3,2,4,2,2,1,1,3,2,8,5,1,3
23,Southampton,3,4,3,8,4,3,3,2,4,2,11,2,2,1,2,3,2,6,3,1,2
24,Charlton,1,6,4,18,3,2,2,2,5,4,9,2,2,2,1,3,3,17,8,2,3
