R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Bolton,4,6,1,3,1,3,2,6,6,.,1,1,1,1,2,4,3,4,1,3,2
2,Birmingham,3,6,1,2,1,2,2,3,6,1,1,1,2,1,2,3,1,2,2,2,1
3,Manchester City,4,11,3,7,2,3,.,5,6,1,3,1,4,.,1,5,2,4,1,1,.
4,Ipswich,3,5,1,5,2,2,2,4,4,1,3,1,4,3,1,3,1,2,1,1,.
5,Charlton,5,6,2,7,2,4,1,3,3,1,3,1,3,1,2,7,3,4,1,1,1
6,Wolverhampton Wanderers,3,4,1,2,2,2,2,4,8,1,1,.,2,.,1,1,.,3,3,1,3
7,Barnsley,3,6,3,3,1,2,1,3,7,2,2,1,2,1,1,3,1,2,1,.,1
8,Nottingham Forest,2,7,2,5,2,2,1,2,4,2,5,1,2,1,2,4,1,3,3,2,1
9,Fulham,2,4,1,4,2,2,2,3,8,1,1,.,2,.,1,1,1,8,3,1,2
10,Queens Park Rangers,3,7,4,4,1,1,1,2,4,2,2,1,2,1,2,4,2,3,2,.,.
11,Huddersfield,3,7,2,3,2,4,2,2,6,1,3,2,2,3,2,4,1,3,1,3,1
12,Blackburn,3,4,3,6,2,3,2,2,4,2,3,1,2,1,1,3,2,3,1,1,1
13,Crewe,4,4,1,5,5,2,4,2,2,.,2,2,1,1,2,2,1,4,3,2,3
14,Portsmouth,4,4,3,5,3,1,2,4,5,1,2,2,1,1,1,2,2,4,1,1,1
15,Tranmere,2,3,3,6,1,.,1,2,4,2,3,1,.,1,1,2,2,5,2,.,1
16,West Bromwich Albion,2,3,3,7,3,2,2,2,4,2,3,1,1,1,1,1,1,5,2,1,1
17,Norwich,1,3,2,5,1,2,1,1,4,1,4,2,2,2,1,3,1,4,3,1,1
18,Crystal Palace,2,5,2,6,2,2,2,1,4,4,7,1,1,1,2,2,1,3,2,2,2
19,Swindon,2,2,1,4,3,2,1,2,2,.,2,2,1,1,2,2,1,4,3,2,1
20,Sheffield United,2,4,2,9,3,1,4,1,4,3,4,1,1,1,1,1,1,5,3,1,4
21,Walsall,1,2,1,4,2,1,2,2,3,1,4,3,1,1,1,4,2,4,3,.,2
22,Grimsby,1,4,4,11,4,2,6,3,3,3,5,1,3,2,.,1,1,8,5,1,6
23,Stockport,2,3,3,13,3,2,3,1,2,2,6,3,1,2,1,2,2,7,2,1,1
24,Port Vale,1,2,1,9,3,1,2,1,3,2,4,2,1,1,.,1,1,9,3,1,2
