R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Sunderland,5,17,1,4,4,4,1,4,10,1,2,2,4,1,4,8,1,3,3,2,1
2,Birmingham,5,7,1,5,2,5,2,4,7,2,3,1,4,1,4,4,1,4,2,3,2
3,Derby,6,7,2,3,2,4,2,5,6,2,4,1,3,1,3,5,1,3,2,2,1
4,West Bromwich Albion,4,8,2,5,3,2,1,7,9,1,5,2,3,1,3,4,2,7,4,1,3
5,Wolverhampton Wanderers,6,8,3,4,2,3,2,3,7,2,4,1,3,1,4,5,1,6,5,3,5
6,Southampton,4,8,3,4,3,2,1,3,10,2,3,2,3,1,2,4,2,4,3,2,2
7,Preston,3,11,2,4,4,4,2,7,13,2,2,2,2,1,2,5,3,5,5,2,2
8,Stoke,5,7,5,8,2,7,2,6,7,4,5,1,5,2,2,3,3,5,2,3,2
9,Sheffield Wednesday,5,11,2,7,5,2,2,4,7,1,5,3,1,1,4,5,1,5,3,1,2
10,Colchester,4,6,1,6,4,2,2,11,14,2,4,2,3,2,2,3,2,8,3,1,2
11,Plymouth,5,7,3,5,3,2,2,4,6,2,4,2,2,1,2,5,3,7,3,1,2
12,Crystal Palace,3,8,2,8,4,2,1,2,4,1,4,4,2,3,1,4,2,9,3,1,1
13,Cardiff,5,6,4,11,4,3,4,5,8,4,6,2,2,2,2,4,2,8,4,2,2
14,Ipswich,3,6,2,5,4,2,5,4,4,1,2,2,1,2,1,2,2,5,3,1,5
15,Burnley,3,7,2,18,3,4,6,4,6,2,7,2,4,2,2,7,2,13,3,2,5
16,Norwich,2,4,2,6,3,2,1,3,5,1,3,2,2,1,2,2,1,6,3,1,3
17,Coventry,2,6,2,7,3,3,3,4,6,1,3,3,3,3,1,2,2,12,6,1,2
18,Queens Park Rangers,3,5,2,6,5,2,3,3,4,2,3,3,2,1,2,3,2,10,7,1,3
19,Leicester,3,8,3,10,4,3,2,2,5,2,7,3,2,2,2,4,2,5,3,2,3
20,Barnsley,3,4,2,7,3,2,3,3,5,2,3,3,2,2,2,2,1,12,8,1,3
21,Hull,3,4,2,6,3,2,2,2,3,2,3,3,2,2,1,4,2,5,3,1,2
22,Leeds,2,5,2,7,4,1,4,4,5,1,4,3,2,3,1,2,2,9,5,1,3
23,Southend,2,4,3,17,4,2,3,2,4,2,9,4,1,1,2,6,3,13,4,2,4
24,Luton,2,5,2,11,7,2,3,2,7,2,7,7,2,2,1,2,2,17,6,1,3
