R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,West Bromwich Albion,3,9,1,3,2,2,1,4,9,2,3,1,3,1,4,7,2,3,2,2,1
2,Stoke,5,12,4,4,2,2,2,5,12,2,3,3,2,2,2,7,3,4,2,2,2
3,Hull,4,6,3,4,2,2,2,4,9,2,2,1,4,1,3,5,2,4,2,1,2
4,Bristol City,4,8,3,5,3,2,4,4,10,2,2,2,2,2,2,4,2,6,4,3,2
5,Crystal Palace,4,15,3,9,3,2,3,2,8,1,4,2,4,3,3,9,3,7,2,4,2
6,Watford,5,12,7,8,3,3,2,3,7,3,8,3,3,3,4,6,4,7,1,3,1
7,Wolverhampton Wanderers,3,6,2,8,2,5,2,3,7,2,4,1,3,2,2,4,2,7,1,3,6
8,Ipswich,2,6,3,4,2,2,2,8,15,2,3,1,4,1,2,3,3,14,6,1,2
9,Sheffield United,4,6,5,8,2,2,2,3,6,3,4,2,2,2,3,6,4,8,2,3,4
10,Plymouth,4,5,2,6,2,3,2,3,6,4,4,1,2,1,2,3,1,4,3,3,3
11,Charlton,4,8,3,6,3,4,2,3,5,2,6,2,2,1,4,4,3,7,2,4,2
12,Cardiff,3,8,3,6,2,2,4,5,6,2,4,3,3,2,2,5,3,10,2,1,3
13,Burnley,3,6,3,6,2,2,2,2,6,3,8,2,2,2,4,7,2,5,2,2,2
14,Queens Park Rangers,2,7,4,8,3,3,2,4,6,1,4,3,2,3,1,3,3,7,2,2,2
15,Preston,3,7,2,6,4,2,3,4,6,1,3,3,2,2,2,6,3,10,4,2,2
16,Sheffield Wednesday,2,9,7,8,6,3,3,3,6,4,4,3,2,2,2,5,3,10,4,2,2
17,Norwich,3,13,3,11,4,3,5,3,9,3,5,2,2,2,3,6,1,8,7,1,3
18,Barnsley,2,7,3,8,3,3,4,4,12,3,4,3,2,2,2,3,1,16,4,1,6
19,Blackpool,2,5,4,10,3,2,1,2,9,4,4,2,2,1,1,4,2,9,5,1,1
20,Southampton,2,5,4,10,3,2,3,2,4,1,4,3,4,2,1,6,5,13,2,1,2
21,Coventry,3,4,2,4,4,2,3,1,7,1,5,1,6,1,2,3,2,11,8,1,4
22,Leicester,1,4,2,7,3,3,3,2,4,3,4,2,2,3,1,6,3,9,3,2,2
23,Scunthorpe,2,4,2,11,4,2,3,3,3,2,11,2,2,2,1,4,1,10,6,2,4
24,Colchester,1,4,3,10,5,1,1,2,4,2,8,3,1,1,1,4,2,10,4,1,1
