R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Reading,10,33,3,3,1,4,1,10,22,2,2,1,3,1,6,17,2,2,1,4,1
2,Sheffield United,8,8,2,4,2,3,2,7,12,1,4,1,4,1,3,7,1,3,2,2,1
3,Watford,6,10,4,6,2,2,1,4,6,2,3,1,1,1,3,5,2,4,1,2,1
4,Preston,5,22,5,9,2,5,2,5,18,3,8,1,5,4,2,10,3,6,1,4,3
5,Leeds,4,10,3,8,2,3,4,6,7,3,5,1,3,3,2,5,3,4,1,2,1
6,Crystal Palace,5,7,2,4,2,3,2,3,9,2,2,1,3,1,3,4,2,4,2,1,3
7,Wolverhampton Wanderers,3,8,4,6,2,4,2,3,6,2,5,1,4,2,2,5,2,4,2,1,3
8,Coventry,3,5,4,6,2,2,2,6,12,2,3,1,2,1,2,3,2,11,3,1,2
9,Norwich,5,5,3,6,3,2,2,6,6,3,4,3,2,1,3,4,1,8,4,1,3
10,Luton,2,4,2,5,4,2,2,2,8,2,2,1,2,1,2,4,2,9,6,1,5
11,Cardiff,2,6,2,7,3,4,3,3,7,2,4,3,4,2,2,5,2,4,2,2,2
12,Southampton,4,11,8,9,4,3,3,3,8,4,4,1,4,4,2,5,4,12,6,2,1
13,Stoke,3,5,1,9,4,2,5,2,3,2,5,3,2,3,4,4,2,7,5,2,2
14,Plymouth,3,5,4,7,5,3,5,2,7,2,4,2,2,2,1,4,3,11,3,2,6
15,Ipswich,3,8,2,8,4,1,2,2,7,2,4,2,1,1,3,4,3,6,3,1,2
16,Leicester,3,5,2,10,6,2,3,1,6,2,4,2,1,2,2,4,2,8,7,1,2
17,Burnley,4,6,2,7,6,4,5,6,6,3,3,2,2,2,2,2,2,14,4,2,6
18,Hull,2,4,4,6,4,2,3,3,5,2,5,3,4,2,2,3,2,9,3,1,2
19,Sheffield Wednesday,3,5,3,9,4,2,7,2,5,2,5,3,3,4,2,2,1,7,4,2,3
20,Derby,2,6,3,8,2,2,3,4,6,3,4,1,3,2,1,4,2,13,3,2,3
21,Queens Park Rangers,2,5,4,11,4,1,2,2,4,2,6,2,2,1,1,5,2,5,3,1,2
22,Crewe,2,4,3,16,6,1,3,2,6,2,8,4,1,2,1,2,2,11,4,1,3
23,Millwall,2,6,4,10,5,1,3,1,3,2,9,3,1,3,2,5,3,8,3,1,2
24,Brighton,2,4,3,11,6,2,2,2,3,2,8,3,1,2,2,6,4,13,8,2,2
