Club,High,High Opponent,Low,Low Opponent,Average
West Ham Utd,35000,Hull City(28/04/12),25680,Cardiff City(07/08/11),30923
Southampton,32363,Coventry City(28/04/12),21014,Leicester City(23/01/12),26419
Derby County,33010,Nottm Forest(13/03/12),22040,Brighton(29/11/11),26020
Derby County,33010,Leeds United(26/12/11),22040,Brighton(29/11/11),26020
Derby County,33010,Southampton(15/10/11),22040,Brighton(29/11/11),26020
Leeds United,33366,West Ham Utd(17/03/12),19469,Peterborough(14/04/12),23379
Leicester City,27720,Leeds United(06/11/11),19806,Burnley(17/04/12),23036
Cardiff City,25109,Leeds United(21/04/12),20366,Hull City(13/03/12),22100
Nottm Forest,27356,Derby County(17/09/11),18506,Reading(01/11/11),21969
Brighton,20968,Crystal Palace(27/09/11),18412,Derby County(20/03/12),20029
Reading,24026,West Ham Utd(10/12/11),15124,Doncaster(17/09/11),19219
Birmingham,25516,Reading(28/04/12),16253,Burnley(22/11/11),19126
Hull City,22676,Leeds United(06/03/12),16604,Barnsley(17/04/12),18790
Ipswich Town,24763,Crystal Palace(22/10/11),15650,Coventry City(19/09/11),18266
Middlesbrough,27794,Hull City(26/12/11),14366,Watford(05/11/11),17557
Crystal Palace,21002,Reading(29/10/11),11853,Barnsley(20/03/12),15219
Coventry City,22240,Birmingham(10/03/12),12054,Crystal Palace(06/03/12),15118
Portsmouth,19879,Southampton(18/12/11),11261,Barnsley(15/10/11),15044
Burnley,17226,Leeds United(19/11/11),12355,Barnsley(14/02/12),14048
Bristol City,19003,Coventry City(09/04/12),12017,Watford(20/03/12),13907
Blackpool,14141,Burnley(21/04/12),11414,Coventry City(31/01/12),12764
Watford,16314,Blackpool(06/04/12),10592,Millwall(27/09/11),12710
Millwall,16085,Crystal Palace(31/12/11),9052,Doncaster(29/11/11),11484
Barnsley,17499,Leeds United(31/12/11),8900,Bristol City(29/10/11),10331
Doncaster,12962,Leeds United(14/10/11),7572,Millwall(20/03/12),9341
Peterborough,13517,West Ham Utd(27/03/12),6351,Cardiff City(18/10/11),9110
