Club,High,High Opponent,Low,Low Opponent,Average
Leeds United,33622,Sheffield Utd(25/09/10),20747,Cardiff City(25/10/10),27299
Derby County,33010,Nottm Forest(22/01/11),23159,Ipswich Town(01/02/11),25892
Norwich City,26532,Ipswich Town(28/11/10),23852,Swansea City(21/08/10),25386
Leicester City,30919,Leeds United(26/12/10),19611,Reading(28/08/10),23709
Nottm Forest,29490,Derby County(29/12/10),19411,Burnley(12/04/11),23274
Cardiff City,26058,QPR(23/04/11),20573,Sheffield Utd(08/08/10),23193
Hull City,24110,Leeds United(01/02/11),19714,Derby County(14/09/10),21168
Sheffield Utd,23728,Leeds United(19/03/11),17496,Swansea City(18/12/10),20632
Ipswich Town,29258,Norwich City(21/04/11),16728,Leicester City(18/12/10),19614
Reading,23677,Leeds United(27/11/10),14029,Coventry City(11/12/10),17681
Middlesbrough,23550,Leeds United(16/10/10),13712,Derby County(08/03/11),16377
Coventry City,28184,Leeds United(06/11/10),12292,Doncaster(28/09/10),16309
Portsmouth,20040,Leeds United(22/01/11),13132,Coventry City(12/04/11),15707
QPR,18234,Leeds United(07/05/11),12046,Scunthorpe(21/08/10),15635
Swansea City,19309,Leeds United(26/02/11),12411,Coventry City(14/09/10),15507
Crystal Palace,20142,Leeds United(25/04/11),12353,Watford(09/11/10),15351
Burnley,20453,Leeds United(11/12/10),13655,Doncaster(09/11/10),14930
Bristol City,18308,Millwall(07/08/10),13376,Sheffield Utd(27/11/10),14604
Watford,15538,QPR(30/04/11),10620,Preston(15/02/11),13108
Millwall,16724,Leeds United(09/04/11),8937,Scunthorpe(04/12/10),12438
Barnsley,20309,Leeds United(14/09/10),10250,Scunthorpe(08/03/11),11855
Preston,18417,Norwich City(18/09/10),8994,Barnsley(09/11/10),11767
Doncaster,14312,Crystal Palace(22/04/11),7921,Coventry City(08/03/11),10258
Scunthorpe,8122,Leeds United(30/10/10),4190,Preston(15/03/11),5547
