R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Hull,28,2,73,431
2,Derby,24,1,70,427
3,Huddersfield,22,2,76,408
4,Middlesbrough,30,1,79,405
5,Reading,26,2,75,394
6,Fulham,20,2,81,391
7,Brentford,23,1,84,379
8,Brighton,24,1,82,367
9,Sheffield Wednesday,21,1,78,367
10,Cardiff,22,1,80,359
11,Milton Keynes Dons,18,1,84,356
12,Leeds,24,0,79,347
13,Ipswich,25,1,99,345
14,Charlton,19,1,71,341
15,Wolverhampton Wanderers,22,1,86,338
16,Nottingham Forest,20,1,85,332
17,Bristol City,23,1,86,325
18,Blackburn,24,0,87,324
19,Burnley,21,1,93,321
20,Bolton,24,0,84,293
21,Preston,23,0,94,291
22,Queens Park Rangers,22,1,88,280
23,Rotherham,22,0,91,270
24,Birmingham,22,1,90,268
