R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Derby,19,1,77,389
2,Brentford,16,1,79,386
3,Hull,21,2,80,384
4,Fulham,15,1,84,381
5,Huddersfield,18,2,76,362
6,Middlesbrough,22,1,84,349
7,Reading,20,2,80,349
8,Brighton,19,1,92,331
9,Milton Keynes Dons,14,1,91,324
10,Leeds,19,1,78,319
11,Wolverhampton Wanderers,22,0,88,318
12,Sheffield Wednesday,17,1,79,318
13,Charlton,13,1,72,309
14,Nottingham Forest,15,1,83,309
15,Cardiff,16,1,84,307
16,Burnley,16,1,96,306
17,Blackburn,19,0,85,305
18,Ipswich,18,0,97,299
19,Bristol City,19,1,86,299
20,Preston,19,0,94,294
21,Bolton,20,0,82,292
22,Queens Park Rangers,17,1,90,292
23,Birmingham,18,2,84,254
24,Rotherham,16,0,91,246
