R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Leicester,24,1,67,423
2,Derby,29,1,72,421
3,Brighton,30,2,67,420
4,Bournemouth,26,2,67,388
5,Queens Park Rangers,25,1,85,384
6,Watford,20,1,75,370
7,Nottingham Forest,25,1,75,365
8,Huddersfield,24,1,74,361
9,Wigan,25,1,70,353
10,Doncaster,25,0,81,328
11,Middlesbrough,23,1,69,324
12,Blackburn,26,1,72,320
13,Ipswich,22,1,82,319
14,Burnley,24,2,77,319
15,Bolton,23,0,76,315
16,Sheffield Wednesday,27,1,75,313
17,Leeds,27,1,70,306
18,Charlton,25,0,82,304
19,Reading,28,1,75,301
20,Blackpool,21,1,76,297
21,Barnsley,23,1,72,288
22,Yeovil,23,0,76,267
23,Millwall,25,1,74,266
24,Birmingham,25,1,92,262
