R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Queens Park Rangers,20,0,72,406
2,Brighton,21,1,71,404
3,Derby,19,0,66,374
4,Bournemouth,19,1,69,358
5,Leicester,20,1,65,356
6,Huddersfield,21,0,77,325
7,Nottingham Forest,22,0,72,322
8,Wigan,22,1,68,321
9,Barnsley,16,1,74,318
10,Watford,18,1,68,317
11,Middlesbrough,19,1,75,308
12,Doncaster,20,0,77,308
13,Blackburn,21,0,68,303
14,Reading,23,0,76,296
15,Blackpool,15,1,70,294
16,Charlton,19,1,80,288
17,Burnley,18,1,81,283
18,Ipswich,19,1,78,282
19,Leeds,19,0,72,278
20,Bolton,16,0,76,277
21,Millwall,20,1,81,261
22,Birmingham,20,1,86,246
23,Sheffield Wednesday,19,0,69,243
24,Yeovil,19,1,76,238
