R,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Tomás Mejías 27, GK",195,84,1,90,-,-,-,-,-,35.5,-,-,7.66
2,,"Kenneth Omeruo 22, D(C)",168,67,14,1217,-,-,1,1,0.2,66.1,3.5,1,7.4
3,,"Daniel Ayala 25, D(CL)",190,81,17(2),1573,3,1,6,1,0.4,71.6,3.9,-,7.36
4,,"Jonathan Woodgate 36, D(CR),DMC",188,80,24(1),2045,-,1,3,-,0.4,75.1,4.2,1,7.21
5,,"Grant Leadbitter 30, DMC",174,68,37(2),3358,6,9,10,-,1.8,81.7,1.2,4,7.16
6,,"Dimitrios Konstantopoulos 37, GK",193,90,12,1080,-,-,-,-,-,37.5,0.1,3,7.07
7,,"Rhys Williams 27, D(CR)",187,72,22,1934,-,1,4,1,0.5,79.1,2.5,2,7.07
8,,"Albert Adomah 28, AM(LR)",185,73,38(4),3433,12,6,2,-,1.6,74.3,0.5,2,7
9,,"George Friend 28, D(L)",188,83,39(2),3449,3,-,7,-,0.6,72.8,2.2,2,6.98
10,,"Mustapha Carayol 27, AM(L)",177,74,24(8),2032,8,1,3,-,1.9,74.9,0.4,3,6.95
11,,"Kei Kamara 31, AM(LR),FW",191,85,16(8),1512,4,2,2,-,2.2,67.5,3.9,3,6.94
12,,"Adam Reach 23, D(L),M(LR),FW",185,73,1(1),135,-,1,-,-,2,88.4,0.5,-,6.91
13,,"Shay Given 40, GK",183,84,16,1440,-,-,-,-,-,45.5,0.2,-,6.84
14,,"Emmanuel Ledesma 28, AM(LR)",180,77,16(11),1489,6,4,5,1,1.9,69.1,0.3,3,6.82
15,,"Richard Smallwood 25, DMC",180,72,9(4),882,-,3,1,-,0.6,77.7,0.8,-,6.82
16,,"Lee Tomlin 27, AM(CLR),FW",180,74,9(5),782,4,1,3,-,2.4,78.6,0.2,1,6.81
17,,"Dean Whitehead 34, D(CR),DMC,M(R)",180,77,34(3),3019,1,-,13,1,0.4,84.7,1.1,1,6.77
18,,"Nathaniel Chalobah 21, DMC",185,75,15(4),1286,1,-,3,-,0.9,77.8,1.7,1,6.75
19,,"Danny Graham 30, AM(L),FW",183,87,17(1),1528,6,2,-,-,2.2,67.6,1,1,6.75
20,,"Jason Steele 25, GK",188,79,16,1382,-,1,-,1,-,62.6,0.1,-,6.73
21,,"József Varga 27, D(R),DMC",175,73,29(5),2519,-,1,4,-,0.1,73.9,0.7,-,6.66
22,,"Ben Gibson 23, D(CL)",185,78,26(5),2443,1,-,5,1,0.3,70.5,1,-,6.65
23,,"Frazer Richardson 33, D(R)",180,75,11,885,-,1,-,-,0.1,74.2,0.5,-,6.64
24,,"Jacob Butterfield 25, M(C)",180,77,20(11),1652,3,1,-,-,1.4,80.8,0.2,1,6.53
25,,"Luke Williams 22, Forward",185,74,4(5),377,-,-,-,-,0.9,83.5,0.3,-,6.48
26,,"Seb Hines 27, D(C)",188,83,3(1),291,-,-,1,-,-,70.8,2.5,-,6.44
27,,"Jayson Leutwiler 27, Goalkeeper",192,80,1(2),148,-,-,-,-,-,58.8,-,-,6.41
28,,"Marvin Emnes 27, AM(C),FW",180,66,14(8),1151,1,4,2,-,1,85.6,0.4,-,6.4
29,,"Stuart Parnaby 33, D(CR)",178,70,1(2),210,-,-,-,-,-,70,-,-,6.25
30,,"Curtis Main 23, FW",178,67,7(15),709,1,1,-,1,0.9,70.7,0.6,-,6.16
31,,"Faris Haroun 30, Midfielder",188,73,0(1),29,-,-,-,-,-,40,-,-,6.16
32,,"Justin Hoyte 31, D(R)",180,71,1(2),116,-,-,-,-,-,84.6,-,-,6.12
33,,"Andy Halliday 24, D(L),M(L)",173,67,0(3),50,-,-,-,-,0.7,71.4,-,-,6.11
34,,"Brad Halliday 20, Midfielder",0,0,0(1),12,-,-,-,-,-,100,-,-,6.09
35,,"Bryn Morris 20, Midfielder",182,71,0(1),24,-,-,-,-,-,94.4,-,-,6.08
