R,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Adama Traoré22, AM(R)",178,72,28(8),2427,5,10,3,2,1.5,72.1,1,14,7.8
2,,"Cyrus Christie25, D(R)",188,78,24(1),2122,1,4,7,-,0.7,78.6,2.1,3,7.2
3,,"George Friend30, D(L)",188,83,31(4),2884,2,1,12,-,0.5,68.2,3.6,1,7.13
4,,"Daniel Ayala27, D(C)",190,81,34,2974,7,1,2,1,0.8,69.2,4.6,3,7.12
5,,"Ryan Shotton29, D(CR),M(R)",191,85,25(1),2234,1,2,2,-,0.3,71.2,3.2,-,7.02
6,,"Muhamed Besic25, DMC",180,80,17,1359,1,1,5,-,1.7,87.5,0.5,-,6.98
7,,"Stewart Downing33, D(L),M(CLR)",180,64,40(2),3426,3,7,1,-,1.9,83.2,0.4,3,6.94
8,,"Martin Braithwaite26, AM(CLR),FW",180,77,17(2),1397,5,2,3,-,1.6,80,1.1,2,6.89
9,,"Jonny Howson30, M(CR)",180,77,39(6),3466,3,2,7,-,0.9,78.9,1,1,6.87
10,,"Dael Fry20, D(C)",181,72,12(2),1134,-,1,1,-,0.3,77.2,2.1,-,6.86
11,,"Ben Gibson25, D(CL)",185,78,47,4230,1,3,6,-,0.4,80.1,3,-,6.85
12,,"Rudy Gestede29, FW",193,86,10(10),944,3,2,3,1,1.3,52.9,6.2,1,6.85
13,,"Fabio27, D(LR)",172,65,18(6),1530,1,1,2,-,0.8,69.1,1.9,2,6.84
14,,"Britt Assombalonga25, FW",177,78,34(12),3129,15,-,3,-,2,78.5,1.2,1,6.67
15,,"Adam Clayton29, M(C)",175,75,24(10),2271,-,-,10,-,0.3,87.3,0.7,-,6.67
16,,"Patrick Bamford24, AM(CLR),FW",185,71,23(18),2119,11,-,1,-,1.8,73.2,1.5,1,6.66
17,,"Darren Randolph31, GK",188,98,48,4320,-,-,3,-,-,50.1,0.4,-,6.64
18,,"Grant Leadbitter32, DMC",177,79,29(3),2372,3,1,10,1,0.6,82.7,1.3,-,6.64
19,,"Marvin Johnson27, AM(L)",178,0,6(11),733,1,2,-,-,0.7,70.3,0.4,1,6.6
20,,"Marten de Roon27, DMC",185,76,1,65,-,-,-,-,-,80,2,-,6.57
21,,"Marcus Tavernier19, Midfielder",0,0,4(1),254,1,-,-,-,0.8,62.1,1.8,-,6.55
22,,"Lewis Baker23, AM(C)",182,72,6(6),617,1,-,1,-,1.4,80.5,0.2,-,6.46
23,,"Jack Harrison21, AM(R)",175,70,0(4),49,-,1,-,-,0.5,64.7,-,-,6.43
24,,"Adam Forshaw26, M(C)",185,71,5(6),453,-,-,1,-,0.2,84.5,0.6,-,6.37
25,,"Ashley Fletcher22, FW",185,78,3(13),446,1,1,-,-,0.8,66.7,1.1,-,6.35
26,,"Martin Cranie31, D(CR)",183,78,1(8),146,-,-,1,-,0.1,68.3,0.8,-,6.21
27,,"Adlène Guédioura32, M(C)",186,81,1,50,-,-,-,-,-,73.3,-,-,6.17
28,,"Connor Roberts22, M(R)",175,71,1,90,-,-,-,-,-,77.3,3,-,6.14
