R,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Dael Fry23, D(CR)",181,72,30(2),2666,1,1,3,-,0.3,58.3,6.3,2,7.06
2,,"Grant Hall29, D(C),DMC",175,71,18(1),1550,2,-,-,-,0.7,67.2,6.8,2,6.98
3,,"Marcus Tavernier22, AM(CLR)",0,0,25(4),2213,3,4,3,-,1.8,74.6,1.7,1,6.95
4,,"Patrick McNair26, D(CR),M(C)",183,72,46,4090,2,7,7,1,0.8,72.6,2,3,6.93
5,,"George Saville27, D(L),M(CL)",176,73,35(7),3246,6,4,8,-,1.5,70.4,3.4,5,6.82
6,,"Neeskens Kebano29, AM(CLR)",170,65,15(3),1225,1,3,1,-,0.9,84.7,1.1,-,6.81
7,,"Yannick Bolasie31, AM(LR),FW",188,84,12(3),935,3,3,1,-,2,62.3,3.1,2,6.81
8,,"Marc Bola23, D(CL),M(L)",185,78,41,3612,1,1,7,-,0.5,67.5,2.1,2,6.78
9,,"Anfernee Dijksteel24, D(CR),M(R)",183,72,29,2530,-,-,4,-,0.2,69.3,1.5,1,6.76
10,,"Darnell Fisher27, D(LR),M(R)",175,80,11(1),908,-,-,1,-,0.2,63.7,1.3,-,6.73
11,,"Jonny Howson33, D(CR),M(CLR)",180,77,40(1),3619,1,1,7,-,0.7,66.6,1.7,1,6.72
12,,"Sam Morsy29, M(C)",175,70,29(2),2344,1,5,8,1,0.9,74.6,1.6,1,6.71
13,,"Marcus Browne23, AM(CL)",179,74,1(4),138,2,1,-,-,1.2,66.7,1.2,-,6.69
14,,"Jordan Archer28, GK",186,80,5,450,-,-,-,-,-,36.9,0.8,-,6.56
15,,"Nathan Wood18, D(C)",0,0,2(2),253,-,-,-,-,0.3,70.1,1.5,-,6.55
16,,"Duncan Watmore27, AM(LR),FW",175,72,23(7),1865,9,1,-,-,0.9,66.6,0.3,3,6.53
17,,"Marvin Johnson30, D(L),M(LR)",178,0,22(20),2149,3,4,2,-,0.8,58.2,0.5,-,6.51
18,,"Connor Malley21, Midfielder",0,0,0(3),112,-,-,-,-,0.7,79.4,1.3,-,6.44
19,,"Chuba Akpom25, FW",183,70,20(18),1924,5,2,2,-,1.1,50.8,2.4,2,6.42
20,,"Djed Spence20, D(R),M(R)",0,0,22(16),2086,1,-,1,-,0.3,70.4,1.3,-,6.41
21,,"Nathaniel Mendez-Laing29, AM(LR)",180,77,2(7),295,1,1,-,-,0.6,73.8,0.8,-,6.39
22,,"Josh Coburn18, Forward",0,0,0(4),49,1,-,-,-,0.5,25,1.8,-,6.37
23,,"Ashley Fletcher25, AM(CL),FW",185,78,5(7),499,2,1,1,-,1.1,58.9,1.8,-,6.32
24,,"Lewis Wing25, M(C)",0,0,4(8),372,2,-,-,-,0.9,58.1,0.6,1,6.31
25,,"Britt Assombalonga28, FW",177,78,19(12),1723,5,-,2,-,1.6,67.6,1.5,-,6.27
26,,"Marcus Bettinelli28, GK",194,82,41,3690,-,-,3,-,-,34.1,0.2,-,6.25
27,,"Patrick Roberts24, AM(CR)",168,58,4(5),334,-,-,-,-,0.6,70.9,-,-,6.22
28,,"Hayden Coulson22, D(L),M(L)",0,0,5(12),624,-,-,-,-,0.4,75,0.4,-,6.11
29,,"Sam Folarin0, Midfielder",0,0,0(2),25,-,-,-,-,1,58.3,-,-,6.08
30,,"Hayden Hackney18, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,6
31,,"Jack Robinson19, Defender",0,0,0(1),1,-,-,-,-,-,50,-,-,5.99
