Rank,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Luke Ayling32, D(CR),M(R)",185,72,19,1644,-,8,8,-,0.8,81.4,1.6,1,7.01
2,,"Emmanuel Latte Lath25, FW",177,75,23(7),2093,16,1,6,-,2.4,68.4,1.3,1,6.99
3,,"Matt Clarke27, D(C)",185,83,19(5),1811,1,3,2,-,0.9,85.3,2.8,2,6.98
4,,"Isaiah Jones24, M(LR)",181,0,31(4),2600,8,4,8,-,1.4,81.6,0.2,1,6.94
5,,"Lukas Engel25, D(L)",178,74,28(7),2477,2,4,4,-,0.5,79.1,1.2,2,6.81
6,,"Finn Azaz23, AM(CL)",185,70,15(5),1362,4,5,2,-,1.7,77.6,0.3,2,6.8
7,,"Darragh Lenihan30, D(C),DMC",178,76,8,720,1,-,1,-,0.9,90.2,3.8,2,6.77
8,,"Rav van den Berg19, D(CR)",190,75,33(1),2895,1,-,2,-,0.4,88.9,2,1,6.73
9,,"Jonny Howson36, D(CR),M(CLR)",180,76,35(3),3099,2,2,9,-,0.7,85.8,0.4,1,6.72
10,,"Daniel Barlaser27, DMC",184,62,26(7),2329,-,2,2,-,0.2,89.2,0.6,1,6.7
11,,"Paddy McNair29, D(CR),M(C)",183,72,20(1),1760,-,-,2,-,0.6,87.3,1.5,-,6.68
12,,"Matt Crooks30, M(C),FW",191,72,18(7),1537,3,6,5,-,1.3,82.3,1,-,6.67
13,,"Dael Fry26, D(CR)",190,72,28,2520,-,1,1,-,0.5,89.5,2.9,-,6.67
14,,"Morgan Rogers21, AM(CL),FW",0,0,14(12),1301,2,6,5,-,1.2,72.2,0.2,2,6.66
15,,"Riley McGree25, AM(CLR)",178,78,14(8),1261,4,1,2,-,1.5,82.6,0.3,2,6.65
16,,"Hayden Hackney21, M(CL)",178,70,20(1),1812,1,-,6,-,1.2,87.9,0.3,-,6.64
17,,"Lewis O'Brien25, D(L),M(CL)",173,74,18(5),1574,-,1,1,-,0.6,87.1,0.5,-,6.63
18,,"Marcus Forss24, AM(R),FW",182,76,12(9),1117,7,2,2,-,1.7,70.5,0.4,1,6.57
19,,"Alex Bangura24, D(L)",183,0,6(8),582,2,1,1,-,0.3,88.1,-,-,6.55
20,,"Tom Glover26, GK",190,90,11(1),991,-,-,1,-,-,75.2,0.6,-,6.55
21,,"Alex Gilbert22, Forward",183,67,2(10),227,1,3,-,-,0.3,79.2,0.2,-,6.55
22,,"Seny Dieng29, GK",193,90,35,3150,-,-,2,-,-,76.7,0.3,1,6.55
23,,"Sam Greenwood22, AM(CL),FW",185,0,25(12),2205,5,3,8,-,1.9,80.3,0.1,2,6.51
24,,"Luke Thomas22, D(L),M(L)",181,0,8(4),659,-,-,-,-,0.6,79.6,0.8,-,6.48
25,,"Josh Coburn21, FW",0,0,11(10),993,5,1,2,-,1.1,77.5,1.3,-,6.48
26,,"Tommy Smith32, D(CR),M(R)",186,75,4(2),383,-,-,1,1,0.3,86.9,0.7,-,6.47
27,,"Hayden Coulson25, D(L),M(L)",177,70,2,150,-,-,-,-,1.5,86.7,1,-,6.47
28,,"Sam Silvera23, AM(LR)",173,75,12(25),1357,4,2,-,-,1.2,80,0.2,-,6.28
29,,"Anfernee Dijksteel27, D(CR),M(R)",183,72,8(12),739,-,-,-,1,0.2,85.4,0.3,-,6.24
30,,"Law McCabe17, Midfielder",0,0,1(2),102,-,-,-,-,-,89.2,-,-,6.23
31,,"Ajay Matthews17, Midfielder",0,0,0(2),11,-,-,-,-,-,100,-,-,6.02
32,,"James Wilson0, Midfielder",0,0,0(1),1,-,-,-,-,-,100,-,-,6
33,,"Sonny Finch18, Forward",0,0,0(1),8,-,-,-,-,-,-,-,-,6
34,,"Calum Kavanagh20, AM(C),FW",0,0,0(2),6,-,-,-,-,-,100,-,-,5.98
35,,"Charlie Lennon18, Forward",0,0,0(1),16,-,-,-,-,-,50,-,-,5.84
