R,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Ryan Shotton30, D(CR),M(R)",191,85,33(1),2877,-,1,6,-,0.3,66.3,4.3,1,7.07
2,,"Aden Flint29, D(C)",197,76,39,3454,1,1,5,-,1.3,70.5,4.9,2,6.98
3,,"Daniel Ayala28, D(C)",190,81,32(1),2723,1,-,10,2,1.1,65.8,3.9,3,6.93
4,,"George Saville25, D(L),M(CL)",176,73,28(6),2520,4,-,9,-,1.3,76.6,1.6,1,6.92
5,,"Dael Fry21, D(CR)",181,72,33(1),2864,-,4,1,-,0.2,69.4,3.6,2,6.9
6,,"George Friend31, D(CL),M(L)",188,83,37(1),3271,2,2,4,-,0.8,65.7,3.2,1,6.9
7,,"John Obi Mikel32, M(C)",188,83,18,1600,1,-,4,-,0.6,87.4,1.6,-,6.84
8,,"Jonny Howson30, M(CLR)",180,77,44(2),3943,1,6,7,-,1.3,73.2,1.1,2,6.83
9,,"Muhamed Besic26, DMC",180,80,30(7),2272,2,5,5,1,1.2,86.1,0.2,2,6.83
10,,"Lewis Wing23, AM(C)",0,0,19(9),1798,3,3,3,-,1.5,69,0.8,2,6.8
11,,"Danny Batth28, D(C)",191,82,8(2),722,-,-,1,-,0.6,61.9,3.5,-,6.77
12,,"Darren Randolph31, GK",188,98,46,4140,-,-,-,-,-,45.9,0.2,1,6.71
13,,"Ashley Fletcher23, AM(C),FW",185,78,14(7),1156,5,-,-,-,2.1,70.8,2,3,6.67
14,,"Stewart Downing34, D(L),M(CLR)",180,64,24(14),2338,2,1,2,-,1.2,82,0.2,2,6.63
15,,"Adam Clayton30, M(C)",175,75,29(7),2491,-,-,11,-,0.1,82.3,0.6,1,6.62
16,,"Rudy Gestede30, FW",193,86,1(3),109,-,-,-,-,1,44.4,6.8,-,6.62
17,,"Martin Braithwaite27, AM(CLR),FW",180,77,12(5),1109,3,-,-,-,1.6,73.2,0.8,-,6.61
18,,"Rajiv van La Parra27, AM(LR),FW",181,72,0(3),70,-,-,-,-,0.7,81.8,-,-,6.58
19,,"Britt Assombalonga26, FW",177,78,28(14),2685,14,-,2,-,2,75.4,1,1,6.54
20,,"Jordan Hugill26, FW",183,64,20(17),1872,6,2,6,-,1.5,59.8,3.5,2,6.48
21,,"Paddy McNair24, D(CR),DMC",183,72,7(9),734,-,1,1,-,0.3,71.7,1.3,1,6.42
22,,"Marcus Tavernier20, AM(L)",0,0,2(18),484,3,1,2,-,0.7,72.3,0.4,1,6.38
23,,"Sam McQueen24, D(L)",180,70,1(4),135,-,-,-,-,0.6,84.6,0.2,-,6.19
24,,"Grant Leadbitter33, DMC",177,79,1(1),64,-,-,-,-,-,71.1,-,-,6.14
