Rank,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Dael Fry25, D(CR)",181,72,1,90,-,-,-,-,2,80.2,8,-,7.55
2,,"Hayden Hackney20, M(C)",0,0,1,90,-,-,-,-,1,83,2,-,7.09
3,,"Patrick McNair28, D(CR),M(C)",183,72,1,59,-,-,-,-,1,84,1,-,6.7
4,,"Bryant Bilongo21, Defender",0,0,0(1),31,-,-,-,-,-,82.4,3,-,6.67
5,,"Joseph Gibson21, Midfielder",0,0,1,77,-,-,-,-,2,73.3,-,-,6.56
6,,"Tommy Smith31, D(CR),M(R)",186,75,1,90,-,-,-,-,-,73.3,3,-,6.53
7,,"Isaac Fletcher20, Midfielder",0,0,0(1),13,-,-,-,-,2,50,1,-,6.51
8,,"Caolan Boyd-Munce23, Midfielder",0,0,1,90,-,-,-,-,-,80.4,-,-,6.37
9,,"Sonny Finch17, Forward",0,0,1,60,-,-,-,-,-,71.4,1,-,6.36
10,,"Daniel Dodds22, D(C)",0,0,0(1),16,-,-,-,-,1,90.9,-,-,6.33
11,,"Marc Bola25, D(CL),M(L)",185,78,1,74,-,-,-,-,-,51.6,2,-,6.32
12,,"Chuba Akpom27, AM(C),FW",183,70,0(1),31,-,-,-,-,1,100,1,-,6.21
13,,"Anfernee Dijksteel26, D(CR),M(R)",183,72,1,90,-,-,-,-,1,95.7,1,-,6.07
14,,"Marcus Forss23, AM(R),FW",182,76,0(1),31,-,-,-,-,-,66.7,-,-,5.88
15,,"Duncan Watmore29, AM(CLR),FW",175,72,1,60,-,-,-,-,1,45.5,1,-,5.67
16,,"Liam Roberts28, GK",183,82,1,90,-,-,-,-,-,75.7,-,-,5.62
