R,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Daniel Ayala29, D(C)",190,81,23(2),2081,2,-,4,-,0.9,73.4,3.9,1,6.92
2,,"Marcus Tavernier21, AM(CLR)",0,0,27(10),2536,3,5,5,-,1.8,76.7,0.8,-,6.86
3,,"Jonny Howson32, D(CR),M(CLR)",180,77,41,3657,-,6,8,1,0.6,70.9,1.6,2,6.85
4,,"Patrick Roberts23, AM(CR)",168,58,8(2),614,1,2,1,-,1.4,77.1,-,1,6.83
5,,"Ryan Shotton31, D(CR),M(R)",191,85,20(1),1741,-,-,3,-,0.2,74.5,2.8,1,6.82
6,,"Dael Fry22, D(CR)",181,72,36,3186,-,-,2,-,0.3,75.2,4.5,-,6.8
7,,"Hayden Coulson22, D(L),M(L)",0,0,20(9),1875,1,1,3,-,0.8,70,0.9,-,6.76
8,,"Ashley Fletcher24, AM(CL),FW",185,78,37(6),3244,11,7,5,-,1.8,64.9,2.3,5,6.76
9,,"Ravel Morrison27, M(C)",175,71,3,216,-,-,-,-,1,75.7,0.7,-,6.75
10,,"George Friend32, D(CL),M(L)",188,83,14,1226,-,-,1,-,0.6,57.3,4.4,-,6.74
11,,"Patrick McNair25, D(CR),DMC",183,72,36(5),3281,6,2,6,1,1.3,77.7,1.8,2,6.73
12,,"Lewis Wing25, AM(C)",0,0,28(12),2744,7,2,6,-,2,75.4,0.8,2,6.72
13,,"Marvin Johnson29, D(L),M(LR)",178,0,29(9),2619,1,3,4,1,0.7,63.6,0.9,1,6.71
14,,"George Saville27, D(L),M(CL)",176,73,31(6),2503,1,2,9,1,0.9,77.8,1.4,1,6.6
15,,"Rudy Gestede31, FW",193,86,5(14),581,2,1,-,-,1.2,49.7,4.9,2,6.59
16,,"Britt Assombalonga27, FW",177,78,27(8),2510,11,2,2,-,1.7,65.5,1.9,1,6.59
17,,"Aynsley Pears22, GK",0,0,24,2160,-,-,-,-,-,46.1,0.6,-,6.58
18,,"Djed Spence19, D(R),M(R)",0,0,18(4),1539,1,-,2,-,0.5,75.5,0.8,-,6.55
19,,"Darren Randolph33, GK",188,98,14,1260,-,-,1,-,-,45.1,0.4,1,6.54
20,,"Dejan Stojanovic27, GK",196,89,8,720,-,-,-,-,-,35.7,0.3,-,6.54
21,,"Harold Moukoudi22, D(C)",191,74,8,720,-,1,2,-,0.3,80.5,1.8,-,6.52
22,,"Marc Bola22, D(L)",185,78,6(1),519,-,-,1,-,0.1,67.8,0.6,-,6.51
23,,"Nathan Wood18, Defender",0,0,0(1),53,-,-,-,-,-,77.8,-,-,6.45
24,,"Adam Clayton31, M(C)",175,75,21(6),1721,-,-,4,-,0.2,80,0.5,1,6.36
25,,"Anfernee Dijksteel23, D(R),M(R)",183,72,12(4),1042,-,-,3,-,0.3,76.7,1.1,1,6.35
26,,"Lukas Nmecha21, AM(R),FW",185,80,4(7),468,-,-,1,-,1,69.9,0.5,-,6.3
27,,"Marcus Browne22, AM(CL)",179,74,5(8),422,-,-,2,1,0.2,63.5,0.5,-,6.14
28,,"Stephen Walker19, AM(R)",0,0,1(6),135,-,-,-,-,0.3,71.4,-,-,5.97
29,,"Tyrone O'Neill20, Forward",0,0,0(1),13,-,-,-,-,-,-,-,-,5.95
30,,"Ben Liddle21, Midfielder",0,0,0(1),20,-,-,-,-,-,60,-,-,5.92
