R,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"John Obi Mikel32, M(C)",188,83,18,1600,2.1,1.1,1.9,-,1.4,1.2,0.6,-,6.84
2,,"George Saville25, D(L),M(CL)",176,73,28(6),2520,1.9,0.8,1.3,-,1.4,1,0.4,-,6.92
3,,"Lewis Wing23, AM(C)",0,0,19(9),1798,1.9,0.6,1.3,-,0.6,1.1,0.3,-,6.8
4,,"Ryan Shotton30, D(CR),M(R)",191,85,33(1),2877,1.8,1.4,0.7,-,3.3,0.7,0.7,1,7.07
5,,"Adam Clayton30, M(C)",175,75,29(7),2491,1.8,1.3,1.3,-,1.3,0.9,0.4,-,6.62
6,,"George Friend31, D(CL),M(L)",188,83,37(1),3271,1.6,0.8,0.8,0.1,2.8,0.3,0.5,1,6.9
7,,"Daniel Ayala28, D(C)",190,81,32(1),2723,1.5,1.4,1.6,0.4,5.3,0.2,0.7,-,6.93
8,,"Danny Batth28, D(C)",191,82,8(2),722,1.4,1.3,1.1,0.1,5.5,0.3,0.5,-,6.77
9,,"Muhamed Besic26, DMC",180,80,30(7),2272,1.4,0.6,0.8,0.1,0.4,0.9,0.1,-,6.83
10,,"Jonny Howson30, M(CLR)",180,77,44(2),3943,1.2,0.4,0.8,-,1,0.6,0.1,-,6.83
11,,"Paddy McNair24, D(CR),DMC",183,72,7(9),734,1.1,0.4,0.3,-,1.7,0.5,0.1,-,6.42
12,,"Grant Leadbitter33, DMC",177,79,1(1),64,1,-,-,-,1,-,-,-,6.14
13,,"Dael Fry21, D(CR)",181,72,33(1),2864,1,0.7,0.3,0.2,4.8,0.3,0.3,-,6.9
14,,"Aden Flint29, D(C)",197,76,39,3454,0.9,0.7,0.6,0.3,5.8,0.4,0.9,-,6.98
15,,"Ashley Fletcher23, AM(C),FW",185,78,14(7),1156,0.7,0.1,0.9,-,0.8,0.4,-,-,6.67
16,,"Marcus Tavernier20, AM(L)",0,0,2(18),484,0.5,0.2,0.8,-,0.5,0.3,0.1,-,6.38
17,,"Martin Braithwaite27, AM(CLR),FW",180,77,12(5),1109,0.4,0.4,0.6,0.1,0.6,0.2,-,-,6.61
18,,"Stewart Downing34, D(L),M(CLR)",180,64,24(14),2338,0.3,0.8,0.2,-,0.6,0.3,0.1,-,6.63
19,,"Britt Assombalonga26, FW",177,78,28(14),2685,0.3,-,1.5,-,0.7,0.4,0.1,-,6.54
20,,"Rajiv van La Parra27, AM(LR),FW",181,72,0(3),70,0.3,-,0.3,-,-,-,0.3,-,6.58
21,,"Rudy Gestede30, FW",193,86,1(3),109,0.3,-,1.3,-,0.5,-,-,-,6.62
22,,"Jordan Hugill26, FW",183,64,20(17),1872,0.2,0.1,1.8,-,0.8,0.2,-,-,6.48
23,,"Sam McQueen24, D(L)",180,70,1(4),135,0.2,-,0.2,-,0.6,-,-,-,6.19
24,,"Darren Randolph31, GK",188,98,46,4140,-,-,-,-,0.5,-,-,-,6.71
