R,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Darnell Fisher27, D(LR),M(R)",175,80,11(1),908,2.8,1.1,1.7,0.2,2.1,0.6,0.4,-,6.73
2,,"Jonny Howson33, D(CR),M(CLR)",180,77,40(1),3619,2,1.2,0.7,-,1.7,0.7,0.2,-,6.72
3,,"Patrick McNair26, D(CR),M(C)",183,72,46,4090,1.8,1.3,0.8,0.3,1.9,0.5,0.4,-,6.93
4,,"Anfernee Dijksteel24, D(CR),M(R)",183,72,29,2530,1.7,1.9,1,0.2,1.8,0.7,0.5,1,6.76
5,,"Marcus Tavernier22, AM(CLR)",0,0,25(4),2213,1.7,0.4,0.9,-,0.5,0.6,0.1,-,6.95
6,,"Connor Malley21, Midfielder",0,0,0(3),112,1.7,0.3,-,-,-,0.3,-,-,6.44
7,,"George Saville27, D(L),M(CL)",176,73,35(7),3246,1.6,0.9,1.4,-,0.8,0.6,0.2,-,6.82
8,,"Marc Bola23, D(CL),M(L)",185,78,41,3612,1.5,1.7,0.9,0.1,1.8,0.2,0.3,-,6.78
9,,"Sam Morsy29, M(C)",175,70,29(2),2344,1.5,1.1,1.9,-,0.9,0.7,0.2,-,6.71
10,,"Neeskens Kebano29, AM(CLR)",170,65,15(3),1225,1.1,0.8,0.6,-,0.2,0.3,-,-,6.81
11,,"Dael Fry23, D(CR)",181,72,30(2),2666,0.9,1.8,0.7,0.3,3.9,0.2,0.8,-,7.06
12,,"Djed Spence20, D(R),M(R)",0,0,22(16),2086,0.8,0.7,0.6,-,0.6,0.2,0.1,-,6.41
13,,"Nathan Wood18, D(C)",0,0,2(2),253,0.8,2.3,0.8,0.5,2.8,-,0.3,-,6.55
14,,"Yannick Bolasie31, AM(LR),FW",188,84,12(3),935,0.7,0.1,1.7,-,0.9,0.1,0.1,-,6.81
15,,"Marvin Johnson30, D(L),M(LR)",178,0,22(20),2149,0.7,0.4,0.6,-,0.4,0.4,-,-,6.51
16,,"Nathaniel Mendez-Laing29, AM(LR)",180,77,2(7),295,0.6,0.1,0.6,-,-,0.2,-,-,6.39
17,,"Hayden Coulson22, D(L),M(L)",0,0,5(12),624,0.5,0.3,0.8,-,0.2,0.5,-,-,6.11
18,,"Lewis Wing25, M(C)",0,0,4(8),372,0.5,0.4,0.3,-,0.4,0.6,-,-,6.31
19,,"Duncan Watmore27, AM(LR),FW",175,72,23(7),1865,0.5,0.3,0.5,-,0.2,0.3,0.1,-,6.53
20,,"Grant Hall29, D(C),DMC",175,71,18(1),1550,0.4,1.3,0.4,0.3,4.2,0.1,0.6,1,6.98
21,,"Patrick Roberts24, AM(CR)",168,58,4(5),334,0.3,-,0.6,-,-,0.7,-,-,6.22
22,,"Chuba Akpom25, FW",183,70,20(18),1924,0.2,-,0.6,-,0.3,0.1,-,-,6.42
23,,"Jordan Archer28, GK",186,80,5,450,0.2,-,-,-,1,-,-,-,6.56
24,,"Ashley Fletcher25, AM(CL),FW",185,78,5(7),499,0.2,0.2,1.1,-,0.5,-,-,-,6.32
25,,"Britt Assombalonga28, FW",177,78,19(12),1723,-,-,1.7,-,0.3,0.1,-,-,6.27
26,,"Hayden Hackney18, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,6
27,,"Jack Robinson19, Defender",0,0,0(1),1,-,-,-,-,-,-,-,-,5.99
28,,"Josh Coburn18, Forward",0,0,0(4),49,-,-,0.5,-,-,-,-,-,6.37
29,,"Marcus Bettinelli28, GK",194,82,41,3690,-,-,-,-,0.5,-,-,-,6.25
30,,"Marcus Browne23, AM(CL)",179,74,1(4),138,-,-,0.6,-,-,0.2,-,-,6.69
31,,"Sam Folarin0, Midfielder",0,0,0(2),25,-,-,-,-,-,-,-,-,6.08
