R,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Marten de Roon27, DMC",185,76,1,65,3,2,1,-,-,2,-,-,6.57
2,,"George Friend30, D(L)",188,83,31(4),2884,2.1,1.3,1.3,0.1,3.8,0.8,0.3,-,7.13
3,,"Muhamed Besic25, DMC",180,80,17,1359,2.1,0.5,0.9,0.1,0.6,1.4,0.2,-,6.98
4,,"Adlène Guédioura32, M(C)",186,81,1,50,2,1,1,-,-,2,-,-,6.17
5,,"Jonny Howson30, M(CR)",180,77,39(6),3466,1.9,0.8,0.8,-,1,1,0.3,-,6.87
6,,"Adam Clayton29, M(C)",175,75,24(10),2271,1.9,1.2,1.2,-,1.1,1.5,0.4,-,6.67
7,,"Fabio27, D(LR)",172,65,18(6),1530,1.9,1.3,1.2,0.1,2.6,1.2,0.1,-,6.84
8,,"Marcus Tavernier19, Midfielder",0,0,4(1),254,1.8,0.2,1.4,-,1,0.4,-,-,6.55
9,,"Cyrus Christie25, D(R)",188,78,24(1),2122,1.7,1,1.5,0.2,3,0.6,0.3,-,7.2
10,,"Ryan Shotton29, D(CR),M(R)",191,85,25(1),2234,1.6,1.1,1.2,0.1,4.9,0.6,0.8,-,7.02
11,,"Grant Leadbitter32, DMC",177,79,29(3),2372,1.6,0.8,1,-,1.3,1.3,0.4,-,6.64
12,,"Daniel Ayala27, D(C)",190,81,34,2974,1.5,1,1.3,0.4,6.6,0.4,0.6,-,7.12
13,,"Stewart Downing33, D(L),M(CLR)",180,64,40(2),3426,0.9,0.7,0.3,-,0.6,0.6,-,-,6.94
14,,"Marvin Johnson27, AM(L)",178,0,6(11),733,0.9,0.3,0.4,-,0.9,0.5,-,-,6.6
15,,"Dael Fry20, D(C)",181,72,12(2),1134,0.9,0.8,0.6,0.6,6.9,0.2,0.6,-,6.86
16,,"Adama Traoré22, AM(R)",178,72,28(8),2427,0.8,0.4,1.3,-,0.3,0.4,-,-,7.8
17,,"Ashley Fletcher22, FW",185,78,3(13),446,0.8,0.1,1.1,-,0.3,0.1,-,-,6.35
18,,"Jack Harrison21, AM(R)",175,70,0(4),49,0.8,0.3,-,-,0.3,0.3,-,-,6.43
19,,"Ben Gibson25, D(CL)",185,78,47,4230,0.7,1,0.9,0.3,6,0.3,0.5,-,6.85
20,,"Martin Braithwaite26, AM(CLR),FW",180,77,17(2),1397,0.7,0.4,0.8,-,0.4,0.4,0.1,-,6.89
21,,"Adam Forshaw26, M(C)",185,71,5(6),453,0.6,0.7,1,-,0.4,0.7,0.1,-,6.37
22,,"Rudy Gestede29, FW",193,86,10(10),944,0.6,0.2,0.9,-,0.7,-,0.1,-,6.85
23,,"Patrick Bamford24, AM(CLR),FW",185,71,23(18),2119,0.6,0.2,1.1,-,0.5,0.7,-,-,6.66
24,,"Martin Cranie31, D(CR)",183,78,1(8),146,0.4,0.3,0.3,0.2,1,0.4,0.1,-,6.21
25,,"Lewis Baker23, AM(C)",182,72,6(6),617,0.4,0.5,0.4,-,0.8,0.3,-,-,6.46
26,,"Britt Assombalonga25, FW",177,78,34(12),3129,0.3,0.1,1.1,-,1.1,0.2,0.1,-,6.67
27,,"Connor Roberts22, M(R)",175,71,1,90,-,-,-,-,1,1,-,-,6.14
28,,"Darren Randolph31, GK",188,98,48,4320,-,-,-,-,0.7,-,-,-,6.64
