Rank,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Matt Clarke26, D(C)",185,83,6,462,2.5,1.5,1,0.7,3,0.8,0.3,-,6.82
2,,"Hayden Hackney20, M(C)",0,0,32(2),2750,2,0.8,1.8,-,0.4,1.1,0.1,-,6.79
3,,"Tommy Smith31, D(CR),M(R)",186,75,31(5),2796,1.8,1.1,1,0.2,1.5,0.8,0.3,-,6.63
4,,"Jonny Howson34, D(CR),M(CLR)",180,77,43(1),3711,1.5,1,0.6,0.1,0.8,0.7,0.2,1,6.66
5,,"Isaiah Jones23, M(LR)",0,0,24(10),2368,1.4,0.6,1.1,-,0.6,0.7,0.1,-,6.72
6,,"Patrick McNair28, D(CR),M(C)",183,72,26(4),2248,1.3,0.7,0.6,0.5,2.1,0.6,0.5,-,6.51
7,,"Ryan Giles23, D(L),M(LR)",179,0,43(2),3840,1.2,0.7,0.3,0.1,1.1,0.3,0.1,1,6.8
8,,"Matt Crooks29, M(C),FW",183,72,18(19),1793,1.1,0.4,0.9,-,0.4,0.3,0.1,-,6.61
9,,"Anfernee Dijksteel26, D(CR),M(R)",183,72,10(10),947,1.1,0.4,0.5,0.2,1.1,0.2,0.2,-,6.32
10,,"Aaron Ramsey20, AM(CL)",0,0,8(3),671,1.1,0.5,0.5,-,0.1,0.4,-,-,7.16
11,,"Dael Fry25, D(CR)",181,72,26(4),2289,1,1.5,0.5,1,3.5,0.1,0.5,-,6.83
12,,"Darragh Lenihan29, D(C),DMC",178,76,40(1),3586,0.9,1,0.5,0.6,3.5,0.2,0.8,-,6.91
13,,"Daniel Barlaser26, DMC",184,62,3(8),404,0.9,0.2,0.3,-,0.4,0.4,0.1,-,6.36
14,,"Riley McGree24, AM(CLR)",178,72,35(8),3030,0.8,0.5,0.9,-,0.4,0.7,0.1,-,6.73
15,,"Chuba Akpom27, AM(C),FW",183,70,35(3),3121,0.7,0.2,0.8,-,0.4,0.2,0.2,-,7.25
16,,"Marcus Forss23, AM(R),FW",182,76,24(14),1974,0.6,0.1,0.9,-,0.3,0.3,-,-,6.58
17,,"Alex Mowatt28, M(CLR)",170,71,11(17),1139,0.6,0.4,0.4,-,0.4,0.4,0.1,-,6.35
18,,"Rodrigo Muniz22, FW",178,67,9(8),893,0.5,0.2,0.9,-,0.6,0.2,-,-,6.47
19,,"Matthew Hoppe22, FW",191,80,0(6),65,0.5,-,0.7,-,-,0.7,-,-,6.13
20,,"Marc Bola25, D(CL),M(L)",185,78,9(16),1010,0.4,0.7,0.6,0.1,1.4,0.2,0.3,-,6.35
21,,"Cameron Archer21, FW",171,72,17(3),1379,0.3,0.1,0.9,-,0.1,0.4,0.1,-,7.15
22,,"Duncan Watmore29, AM(CLR),FW",175,72,10(11),848,0.1,-,0.5,-,0.1,0.3,-,-,6.49
23,,"Zack Steffen28, GK",191,86,42,3780,-,-,-,-,1,-,-,-,6.65
24,,"Caolan Boyd-Munce23, Midfielder",0,0,0(1),1,-,-,-,-,-,-,-,-,6
25,,"Darnell Fisher29, D(LR),M(R)",175,80,0(1),1,-,-,-,-,-,-,-,-,6
26,,"Josh Coburn20, FW",0,0,0(1),27,-,-,-,-,-,-,-,-,5.91
27,,"Liam Roberts28, GK",183,82,4,360,-,-,-,-,0.8,-,-,-,6.36
28,,"Pharrell Willis20, Forward",0,0,0(1),7,-,-,-,-,-,-,-,-,6.13
29,,"Sonny Finch17, Forward",0,0,0(3),5,-,-,-,-,-,-,-,-,6
