Rank,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Tommy Smith32, D(CR),M(R)",186,75,1,90,4,-,1,1,4,2,-,-,7.49
2,,"Jonny Howson36, D(CR),M(CLR)",180,76,3(1),274,3,0.3,0.5,-,2,1.3,-,1,6.81
3,,"Marcus Forss24, AM(R),FW",182,76,2,119,2.5,-,1,-,-,0.5,-,-,6.18
4,,"Rav van den Berg19, D(CR)",190,75,3(1),273,2.5,0.5,0.8,0.3,1.3,0.3,0.5,-,6.23
5,,"Lukas Engel25, D(L)",178,74,4(1),367,2.2,0.8,0.2,0.2,2.8,1.2,0.2,-,6.78
6,,"Matt Clarke27, D(C)",185,83,2(1),250,2,2,0.3,0.3,5.3,1,0.3,-,6.82
7,,"Hayden Hackney21, M(CL)",178,70,6,517,1.8,0.3,1.3,-,0.7,0.2,0.5,-,7.08
8,,"Daniel Barlaser27, DMC",184,62,7,630,1.6,0.7,0.3,-,0.9,1.3,0.1,-,6.87
9,,"Lewis O'Brien25, D(L),M(CL)",173,74,1(1),109,1.5,0.5,0.5,0.5,1,-,-,-,6.78
10,,"Morgan Rogers21, AM(CL),FW",0,0,5(1),451,1.5,-,1.5,-,0.3,0.8,-,-,7.59
11,,"Anfernee Dijksteel27, D(CR),M(R)",183,72,2(1),222,1.3,0.7,0.3,-,0.7,0.3,0.3,-,6.92
12,,"Matt Crooks30, M(C),FW",191,72,4(2),341,1.2,0.2,1.5,-,0.3,0.8,0.2,-,6.45
13,,"Alex Bangura24, D(L)",183,0,2(1),116,1,-,1,-,0.3,-,-,-,6.48
14,,"Darragh Lenihan30, D(C),DMC",178,76,2,180,1,1.5,1.5,0.5,1.5,1,-,-,6.75
15,,"Finley Cartwright17, Midfielder",0,0,0(1),4,1,-,1,-,-,-,-,-,5.98
16,,"Hayden Coulson25, D(L),M(L)",177,70,1,90,1,1,4,-,3,3,-,-,6.45
17,,"Josh Coburn21, FW",0,0,0(3),91,1,-,-,-,-,0.3,-,-,6.24
18,,"Sam Silvera23, AM(LR)",173,75,4(1),369,1,0.6,1.2,-,0.2,1,-,-,7.28
19,,"Dael Fry26, D(CR)",190,72,6,540,0.8,1.2,0.3,0.8,6,0.2,0.7,-,6.82
20,,"Alex Gilbert22, Forward",183,67,0(2),20,0.5,0.5,-,-,0.5,-,-,-,6.27
21,,"Isaiah Jones24, M(LR)",181,0,4(1),383,0.4,0.2,1,-,0.2,0.4,-,-,6.76
22,,"Paddy McNair29, D(CR),M(C)",183,72,4,360,0.3,0.5,-,0.5,1,0.5,-,-,6.79
23,,"Emmanuel Latte Lath25, FW",177,75,5,316,0.2,-,0.6,-,0.4,0.4,0.2,-,6.61
24,,"Calum Kavanagh20, AM(C),FW",0,0,0(1),17,-,-,-,-,-,-,-,-,6.02
25,,"Law McCabe17, Midfielder",0,0,0(1),7,-,-,-,-,-,-,-,-,6.03
26,,"Martín Payero25, AM(C)",183,80,1,74,-,-,2,-,-,-,-,-,6
27,,"Riley McGree25, AM(CLR)",178,78,1(2),93,-,-,1,-,-,-,-,-,7.3
28,,"Tom Glover26, GK",190,90,7,630,-,-,-,-,0.4,-,-,-,6.29
,,,,,,,,,,,,,,,
