R,,Player,CM,KG,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
1,,"Kenneth Omeruo 22, D(C)",168,67,14,1217,3.1,1.9,0.9,1.2,8.9,0.7,0.9,-,7.4
2,,"Dean Whitehead 34, D(CR),DMC,M(R)",180,77,34(3),3019,2.4,1.3,1.1,-,2.4,0.9,0.4,-,6.77
3,,"Richard Smallwood 25, DMC",180,72,9(4),882,2.2,1,1,-,2,0.6,-,-,6.82
4,,"Rhys Williams 27, D(CR)",187,72,22,1934,2.1,1.5,1.3,0.8,8.5,0.7,0.4,-,7.07
5,,"Emmanuel Ledesma 28, AM(LR)",180,77,16(11),1489,1.9,0.6,1.3,-,0.5,0.8,0.1,-,6.82
6,,"Frazer Richardson 33, D(R)",180,75,11,885,1.7,0.7,0.9,0.3,3.2,0.3,0.4,-,6.64
7,,"József Varga 27, D(R),DMC",175,73,29(5),2519,1.6,1.5,1,0.1,1.9,0.9,0.3,-,6.66
8,,"George Friend 28, D(L)",188,83,39(2),3449,1.6,1.1,0.8,0.1,4.6,0.5,0.3,1,6.98
9,,"Nathaniel Chalobah 21, DMC",185,75,15(4),1286,1.5,1.3,1.1,0.1,1.9,0.4,0.3,-,6.75
10,,"Adam Reach 23, D(L),M(LR),FW",185,73,1(1),135,1.5,1,0.5,-,0.5,0.5,-,-,6.91
11,,"Albert Adomah 28, AM(LR)",185,73,38(4),3433,1.4,0.5,0.5,-,0.9,0.5,-,-,7
12,,"Jonathan Woodgate 36, D(CR),DMC",188,80,24(1),2045,1.4,1.2,0.8,1.2,9.7,0.2,0.8,1,7.21
13,,"Grant Leadbitter 30, DMC",174,68,37(2),3358,1.3,1.3,1.2,-,1.4,0.6,0.2,-,7.16
14,,"Daniel Ayala 25, D(CL)",190,81,17(2),1573,1.2,1.4,1.1,0.8,11.2,0.2,0.8,-,7.36
15,,"Mustapha Carayol 27, AM(L)",177,74,24(8),2032,1.2,0.2,0.7,-,0.2,0.3,0.1,-,6.95
16,,"Luke Williams 22, Forward",185,74,4(5),377,1,0.6,0.3,-,0.2,0.6,-,-,6.48
17,,"Ben Gibson 23, D(CL)",185,78,26(5),2443,0.9,0.9,0.5,0.5,6.4,0.1,0.5,-,6.65
18,,"Jacob Butterfield 25, M(C)",180,77,20(11),1652,0.8,0.5,0.5,-,0.3,0.5,-,-,6.53
19,,"Stuart Parnaby 33, D(CR)",178,70,1(2),210,0.7,0.7,0.7,0.7,3.7,0.7,-,-,6.25
20,,"Seb Hines 27, D(C)",188,83,3(1),291,0.5,1.3,1.3,1.8,4.5,0.5,0.3,-,6.44
21,,"Kei Kamara 31, AM(LR),FW",191,85,16(8),1512,0.5,0.3,1.1,-,1,0.3,0.1,-,6.94
22,,"Curtis Main 23, FW",178,67,7(15),709,0.4,-,0.7,-,0.5,0.1,-,-,6.16
23,,"Lee Tomlin 27, AM(CLR),FW",180,74,9(5),782,0.4,0.2,1,-,0.3,0.1,0.1,-,6.81
24,,"Marvin Emnes 27, AM(C),FW",180,66,14(8),1151,0.3,0.1,0.5,-,0.2,0.1,-,-,6.4
25,,"Danny Graham 30, AM(L),FW",183,87,17(1),1528,0.2,0.2,0.8,-,0.7,0.1,0.1,-,6.75
26,,"Andy Halliday 24, D(L),M(L)",173,67,0(3),50,-,-,-,-,0.3,0.3,-,-,6.11
27,,"Brad Halliday 20, Midfielder",0,0,0(1),12,-,-,-,-,-,-,-,-,6.09
28,,"Bryn Morris 20, Midfielder",182,71,0(1),24,-,-,-,-,1,-,-,-,6.08
29,,"Dimitrios Konstantopoulos 37, GK",193,90,12,1080,-,-,-,-,0.7,-,-,-,7.07
30,,"Faris Haroun 30, Midfielder",188,73,0(1),29,-,1,-,-,1,-,-,-,6.16
31,,"Jason Steele 25, GK",188,79,16,1382,-,-,0.1,-,0.9,-,-,-,6.73
32,,"Jayson Leutwiler 27, Goalkeeper",192,80,1(2),148,-,-,-,-,0.3,-,-,-,6.41
33,,"Justin Hoyte 31, D(R)",180,71,1(2),116,-,-,-,-,1.7,-,0.3,-,6.12
34,,"Shay Given 40, GK",183,84,16,1440,-,-,-,-,1.2,-,-,-,6.84
35,,"Tomás Mejías 27, GK",195,84,1,90,-,-,-,-,4,-,-,-,7.66
