R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,0,0,0,0,0,6.6,
2,Damiá,DR,0,0,0,0,0,0,0,0,6.53,
3,Kenneth Omeruo,DC,0,0,0,0,1,0,0,0,7.44,
4,Daniel Ayala,DC,1,0,0,0,0,0,0,1,6.92,
5,George Friend,DL,1,0,1,1,0,1,1,1,7.25,
6,Albert Adomah,MR,1,0,3,0,2,1,2,0,6.53,
7,Grant Leadbitter,MC,1,0,2,0,0,0,0,0,6.88,
8,Dean Whitehead60',MC,0,0,0,0,1,1,0,0,6.48,
9,Adam Reach75',ML,0,0,0,2,0,1,0,0,6.69,
10,Kike,FW,4,0,1,0,1,2,5,1,5.66,
11,Lee Tomlin85',FW,1,0,1,1,2,3,1,0,6.32,
12,James Husband,Sub,0,0,0,0,0,0,0,0,0,
13,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,0,
14,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,
16,Luke Williams85',Sub,1,0,0,0,0,0,0,0,6.07,
17,Emilio Nsue Lopez75',Sub,0,0,0,0,0,0,1,0,5.98,
18,Adam Clayton60',Sub,1,0,1,0,0,2,0,0,6.67,
