,,,,,,,,,,,,
R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,1,0,0,0,6.64,
2,Frazer Richardson77',DR,0,0,0,1,1,1,1,0,6.51,
3,Rhys Williams,DC,0,0,0,0,1,0,1,0,7.11,
4,Ben Gibson,DC,0,0,0,0,1,0,1,0,6.79,
5,George Friend,DL,0,0,2,0,2,0,0,0,7.23,
6,Jacob Butterfield,MR,7,3,2,5,2,2,0,0,8.95,
7,Dean Whitehead,MC,0,0,1,0,3,2,1,0,7.47,
8,Grant Leadbitter78',MC,4,2,1,1,1,1,4,0,7.19,
9,Albert Adomah,ML,2,1,3,3,2,3,5,0,8.2,
10,Marvin Emnes62',AMC,2,1,1,0,3,2,2,2,6.69,
11,Kei Kamara,FW,7,2,2,3,2,2,2,0,9.76,
12,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,
13,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,
14,Justin Hoyte77',Sub,0,0,0,0,0,0,2,1,5.96,
15,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
16,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,0,0,
17,Mustapha Carayol62',Sub,0,0,2,2,0,0,1,0,7.08,
18,József Varga78',Sub,0,0,0,0,0,0,0,0,6.09,
