R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,0,6.48,
2,József Varga,DR,0,0,0,1,1,0,0,0,6.66,
3,Kenneth Omeruo,DC,1,0,0,0,1,1,0,0,7.66,
4,Ben Gibson,DC,1,0,0,0,0,0,1,0,6.55,
5,George Friend,DL,1,0,1,2,1,1,0,0,6.63,
6,Emmanuel Jorge Ledesma62',MR,1,0,2,0,1,0,1,0,6.61,
7,Nathaniel Chalobah,MC,1,0,2,0,0,1,0,0,6.61,
8,Grant Leadbitter,MC,1,1,3,0,0,0,1,0,7.4,
9,Mustapha Carayol83',ML,5,2,1,2,2,2,2,0,7.88,
10,Lee Tomlin36',AMC,0,0,0,0,0,1,1,0,5.95,
11,Danny Graham,FW,3,0,1,0,0,1,6,2,6.28,
12,Albert Adomah36',Sub,1,0,1,0,3,0,1,0,6.76,
13,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,
14,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,
15,Luke Williams,Sub,0,0,0,0,0,0,0,0,0,
16,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,
17,Kei Kamara83',Sub,1,0,1,0,1,0,0,0,6.08,
18,Dean Whitehead62',Sub,0,0,0,0,0,0,1,0,6.13,
