R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Shay Given,GK,0,0,0,0,0,0,0,0,7.37,
2,József Varga,DR,0,0,0,1,0,0,1,0,7.18,
3,Ben Gibson,DC,0,0,0,0,0,0,0,0,7.71,
4,Daniel Ayala,DC,1,0,0,0,0,0,0,0,7.94,
5,George Friend,DL,0,0,0,2,1,1,1,0,7.73,
6,Emmanuel Jorge Ledesma88',MR,2,1,3,0,2,2,2,0,7.99,
7,Grant Leadbitter,MC,4,3,3,0,1,0,0,0,9.19,
8,Dean Whitehead,MC,0,0,0,0,0,0,0,0,7.27,
9,Albert Adomah,ML,6,2,4,1,0,1,0,0,8.21,
10,Lukas Jutkiewicz63',FW,1,0,3,0,3,5,3,0,7.39,
11,Marvin Emnes81',FW,5,2,1,0,4,2,1,0,6.95,
12,Jacob Butterfield88',Sub,0,0,1,0,0,0,0,0,6.09,
13,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,
14,Mustapha Carayol81',Sub,0,0,0,0,1,0,0,0,6.16,
15,Rhys Williams,Sub,0,0,0,0,0,0,0,0,0,
16,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
17,Curtis Main63',Sub,2,1,0,0,0,1,0,1,6.65,
18,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,
